title,type,url
Trade Policy Review: Albania,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp549_e.htm
Trade Policy Review: Albania,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp549_crc_e.htm
Trade Policy Review: Albania,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp549.mp3
Trade Policy Review: Türkiye,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp539_e.htm
Trade Policy Review: Türkiye,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp539_crc_e.htm
Trade Policy Review: Türkiye,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp539.mp3
Trade Policy Review: Chinese Taipei,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp548_e.htm
Trade Policy Review: Chinese Taipei,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp548_crc_e.htm
Trade Policy Review: Chinese Taipei,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp548.mp3
Trade Policy Review: Southern African Customs Union,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp547_e.htm
Trade Policy Review: Southern African Customs Union,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp547_crc_e.htm
Trade Policy Review: Southern African Customs Union,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp547.mp3
Trade Policy Review: Jordan,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp546_e.htm
Trade Policy Review: Jordan,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp546_crc_e.htm
Trade Policy Review: Jordan,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp546.mp3
Trade Policy Review: Central African Economic and Monetary Community (CEMAC),TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp545_e.htm
Trade Policy Review: Central African Economic and Monetary Community (CEMAC),Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp545_crc_e.htm
Trade Policy Review: Central African Economic and Monetary Community (CEMAC),Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp545.mp3
"Members agree trade policy review enhancement, delivering WTO reform proposal for MC13",News item,https://www.wto.org/english/news_e/news23_e/tpr_26jul23_e.htm
Trade Policy Review: Fiji,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp544_e.htm
Trade Policy Review: Fiji,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp544_crc_e.htm
Trade Policy Review: Fiji,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp544.mp3
Trade Policy Review: Honduras,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp543_e.htm
Trade Policy Review: Honduras,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp543_crc_e.htm
Trade Policy Review: Honduras,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp543.mp3
Trade Policy Review: European Union,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp542_e.htm
Trade Policy Review: European Union,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp542_crc_e.htm
Trade Policy Review: European Union,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp542.mp3
Trade Policy Review: Liberia,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp541_e.htm
Trade Policy Review: Liberia,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp541_crc_e.htm
Trade Policy Review: Liberia,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp541.mp3
Trade Policy Review: OECS-WTO Members,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp537_e.htm
Trade Policy Review: OECS-WTO Members,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp537_crc_e.htm
Trade Policy Review: OECS-WTO Members,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp537.mp3
Trade Policy Review: El Salvador,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp540_e.htm
Trade Policy Review: El Salvador,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp540_crc_e.htm
Trade Policy Review: El Salvador,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp540.mp3
Trade Policy Review: Japan,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp538_e.htm
Trade Policy Review: Japan,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp538_crc_e.htm
Trade Policy Review: Japan,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp538.mp3
Trade Policy Review: Malaysia,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp536_e.htm
Trade Policy Review: Malaysia,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp536_crc_e.htm
Trade Policy Review: Malaysia,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp536.mp3
Trade Policy Review: Dominican Republic,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp535_e.htm
Trade Policy Review: Dominican Republic,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp535_crc_e.htm
Trade Policy Review: Dominican Republic,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp535.mp3
Trade Policy Review: United States of America,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp534_e.htm
Trade Policy Review: United States of America,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp534_crc_e.htm
Trade Policy Review: United States of America,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp534.mp3
Trade Policy Review: Seychelles,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp533_e.htm
Trade Policy Review: Seychelles,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp533_crc_e.htm
Trade Policy Review: Seychelles,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp533.mp3
Trade Policy Review: Brazil,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp532_e.htm
Trade Policy Review: Brazil,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp532_crc_e.htm
Trade Policy Review: Brazil,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp532.mp3
Trade Policy Review: Barbados,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp531_e.htm
Trade Policy Review: Barbados,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp531_crc_e.htm
Trade Policy Review: Djibouti,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp530_e.htm
Trade Policy Review: Djibouti,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp530_crc_e.htm
Trade Policy Review: Djibouti,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp530.mp3
Members and partner organizations look into future priorities for Aid for Trade,News item,https://www.wto.org/english/news_e/news22_e/aid_14oct22_e.htm
Trade Policy Review: Mexico,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp529_e.htm
Trade Policy Review: Mexico,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp529_crc_e.htm
Trade Policy Review: Mexico,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp529.mp3
Trade Policy Review: Moldova,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp528_e.htm
Trade Policy Review: Moldova,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp528_crc_e.htm
Trade Policy Review: Ghana,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp527_e.htm
Trade Policy Review: Ghana,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp527_crc_e.htm
Trade Policy Review: Ghana,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp527.mp3
Trade Policy Review: New Zealand,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp526_e.htm
Trade Policy Review: New Zealand,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp526_crc_e.htm
Trade Policy Review: New Zealand,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp526.mp3
Trade Policy Review: Switzerland and Liechtenstein,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp525_e.htm
Trade Policy Review: Switzerland and Liechtenstein,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp525_crc_e.htm
Trade Policy Review: Switzerland and Liechtenstein,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp525.mp3
Trade Policy Review: Pakistan,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp524_e.htm
Trade Policy Review: Pakistan,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp524_crc_e.htm
Trade Policy Review: Pakistan,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp524.mp3
Trade Policy Review: United Arab Emirates,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp523_e.htm
Trade Policy Review: United Arab Emirates,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp523_crc_e.htm
Trade Policy Review: United Arab Emirates,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp523.mp3
Trade Policy Review: Guyana,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp522_e.htm
Trade Policy Review: Guyana,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp522_crc_e.htm
Trade Policy Review: Guyana,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp522.mp3
Trade Policy Review: Panama,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp521_e.htm
Trade Policy Review: Panama,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp521_crc_e.htm
Trade Policy Review: Panama,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp521.mp3
Trade Policy Review: Georgia,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp520_e.htm
Trade Policy Review: Georgia,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp520_crc_e.htm
Trade Policy Review: Georgia,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp520.mp3
Trade Policy Review: Tajikistan,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp499_e.htm
Trade Policy Review: Tajikistan,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp499_crc_e.htm
Trade Policy Review: Tajikistan,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp499.mp3
Trade Policy Review: Kingdom of Bahrain,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp519_e.htm
Trade Policy Review: Kingdom of Bahrain,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp519_crc_e.htm
Trade Policy Review: Kingdom of Bahrain,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp519.mp3
Trade Policy Review: Oman,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp518_e.htm
Trade Policy Review: Oman,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp518_crc_e.htm
Trade Policy Review: Oman,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp518.mp3
Trade Policy Review: Mauritius,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp517_e.htm
Trade Policy Review: Mauritius,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp517_crc_e.htm
Trade Policy Review: Mauritius,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp517.mp3
Trade Policy Review: Russian Federation,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp516_e.htm
Trade Policy Review: Russian Federation,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp516_crc_e.htm
Trade Policy Review: China,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp515_e.htm
Trade Policy Review: China,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp515_crc_e.htm
Trade Policy Review: China,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp515.mp3
Trade Policy Review: Republic of Korea,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp514_e.htm
Trade Policy Review: Republic of Korea,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp514_crc_e.htm
Trade Policy Review: Republic of Korea,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp514.mp3
Trade Policy Review: Singapore,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp513_e.htm
Trade Policy Review: Singapore,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp513_crc_e.htm
Trade Policy Review: Argentina,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp512_e.htm
Trade Policy Review: Argentina,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp512_crc_e.htm
Trade Policy Review: Kyrgyz Republic,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp511_e.htm
Trade Policy Review: Kyrgyz Republic,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp511_crc_e.htm
Trade Policy Review: Kyrgyz Republic,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp511.mp3
Trade Policy Review: Viet Nam,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp510_e.htm
Trade Policy Review: Viet Nam,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp510_crc_e.htm
Trade Policy Review: Tonga,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp509_e.htm
Trade Policy Review: Tonga,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp509_crc_e.htm
Trade Policy Review: Qatar,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp508_e.htm
Trade Policy Review: Qatar,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp508_crc_e.htm
Trade Policy Review: Mongolia,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp506_e.htm
Trade Policy Review: Mongolia,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp506_crc_e.htm
Trade Policy Review: Mongolia,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp506.mp3
Trade Policy Review: Saudi Arabia,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp507_e.htm
Trade Policy Review: Saudi Arabia,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp507_crc_e.htm
Trade Policy Review: Saudi Arabia,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp507.mp3
Trade Policy Review: Myanmar,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp505_e.htm
Trade Policy Review: Myanmar,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp505_crc_e.htm
Trade Policy Review: Myanmar,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp505.mp3
Trade Policy Review: Nicaragua,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp504_e.htm
Trade Policy Review: Nicaragua,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp504_crc_e.htm
Trade Policy Review: Nicaragua,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp504.mp3
Trade Policy Review: India,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp503_e.htm
Trade Policy Review: India,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp503_crc_e.htm
Trade Policy Review: India,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp503.mp3
"Trade Policy Review: Macao, China",TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp502_e.htm
"Trade Policy Review: Macao, China",Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp502_crc_e.htm
Trade Policy Review: Indonesia,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp501_e.htm
Trade Policy Review: Indonesia,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp501_crc_e.htm
Trade Policy Review: Indonesia,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp501.mp3
Trade Policy Review: Thailand,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp500_e.htm
Trade Policy Review: Thailand,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp500_crc_e.htm
Trade Policy Review: Thailand,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp500.mp3
Trade Policy Review: Zimbabwe,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp498_e.htm
Trade Policy Review: Zimbabwe,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp498_crc_e.htm
Trade Policy Review: Zimbabwe,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp498.mp3
Chair announces programme of trade policy reviews for remainder of 2020,News item,https://www.wto.org/english/news_e/news20_e/tpr_08sep20_e.htm
Trade Policy Review: Japan,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp497_e.htm
Trade Policy Review: Japan,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp497_crc_e.htm
Trade Policy Review: Japan,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp497.mp3
Trade Policy Review: Australia,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp496_e.htm
Trade Policy Review: Australia,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp496_crc_e.htm
DG Azevêdo announces suspension of WTO meetings following confirmation of COVID-19 case,News item,https://www.wto.org/english/news_e/news20_e/dgra_10mar20_e.htm
Trade Policy Review: European Union,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp495_e.htm
Trade Policy Review: European Union,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp495_crc_e.htm
Trade Policy Review: European Union,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp495.mp3
30 years of the Trade Policy Review Mechanism,Speech,https://www.wto.org/english/news_e/spra_e/spra296_e.htm
Conference marks 30 years of the WTO’s Trade Policy Review Mechanism,News item,https://www.wto.org/english/news_e/news19_e/tpr_27nov19_e.htm
Trade Policy Review: Lao People’s Democratic Republic,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp494_e.htm
Trade Policy Review: Lao People’s Democratic Republic,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp494_crc_e.htm
Trade Policy Review: Lao People’s Democratic Republic,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp494.mp3
Deadline for registering for Trade Policy Review Conference extended to 20 November,News item,https://www.wto.org/english/news_e/news19_e/tpr_07nov19_e.htm
Trade Policy Review: Peru,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp493_e.htm
Trade Policy Review: Peru,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp493_crc_e.htm
Trade Policy Review: Peru,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp493.mp3
Online registration opens for conference to mark 30 years of Trade Policy Review Mechanism,News item,https://www.wto.org/english/news_e/news19_e/tpr_14oct19_e.htm
Trade Policy Review: Costa Rica,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp492_e.htm
Trade Policy Review: Costa Rica,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp492_crc_e.htm
Trade Policy Review: Suriname,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp491_e.htm
Trade Policy Review: Suriname,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp491_crc_e.htm
Trade Policy Review: Suriname,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp491.mp3
Trade Policy Review: North Macedonia,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp490_e.htm
Trade Policy Review: North Macedonia,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp490_crc_e.htm
Trade Policy Review: North Macedonia,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp490.mp3
Trade Policy Review: Canada,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp489_e.htm
Trade Policy Review: Canada,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp489_crc_e.htm
Trade Policy Review: Trinidad and Tobago,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp488_e.htm
Trade Policy Review: Trinidad and Tobago,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp488_crc_e.htm
Trade Policy Review: Trinidad and Tobago,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp488.mp3
Trade Policy Review: Papua New Guinea,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp487_e.htm
Trade Policy Review: Papua New Guinea,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp487_crc_e.htm
Trade Policy Review: Papua New Guinea,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp487.mp3
WTO’s Trade Policy Review Mechanism turns 30,News item,https://www.wto.org/english/news_e/news19_e/tpr_12apr19_e.htm
Trade Policy Review: Samoa,TPR documents,https://www.wto.org/english/tratop_e/tpr_e/tp486_e.htm
Trade Policy Review: Samoa,Chairperson’s concluding remarks,https://www.wto.org/english/tratop_e/tpr_e/tp486_crc_e.htm
Trade Policy Review: Samoa,Audio: Chairperson’s concluding remarks,https://www.wto.org/audio/tp486.mp3
