title,type,url
EU donates EUR 1 million to WTO Fisheries Funding Mechanism,Press release,https://www.wto.org/english/news_e/pres23_e/pr940_e.htm
The United States extends its strategic partnership with the STDF until 2028,Press release,https://www.wto.org/english/news_e/pres23_e/pr938_e.htm
Norway donates NOK 9 million to WTO Fisheries Funding Mechanism,Press release,https://www.wto.org/english/news_e/pres23_e/pr939_e.htm
"US gives USD 600,000 to support trade-related capacity-building in developing economies",Press release,https://www.wto.org/english/news_e/pres23_e/pr936_e.htm
Exploring new pathways for LDC integration into global trade,Blog,https://www.wto.org/english/blogs_e/ddg_xiangchen_zhang_e/blog_xz_03nov23_e.htm
DDG Zhang calls on LDCs to explore ways of boosting agriculture and services trade,News item,https://www.wto.org/english/news_e/news23_e/devel_03nov23_e.htm
DDG Ellard: Africa shows admirable leadership in achieving development objectives,News item,https://www.wto.org/english/news_e/news23_e/ddgae_26oct23_e.htm
"Germany gives EUR 500,000 to enhance developing economies’ trading skills",Press release,https://www.wto.org/english/news_e/pres23_e/pr935_e.htm
Members discuss using trade to expand small economies’ economic outputs,News item,https://www.wto.org/english/news_e/news23_e/devel_27oct23_e.htm
Members discuss reinvigorating efforts of working group on trade and technology transfer,News item,https://www.wto.org/english/news_e/news23_e/devel_13oct23_e.htm
Negotiators advance discussion on IFD Agreement integration into WTO legal structure,News item,https://www.wto.org/english/news_e/news23_e/infac_13oct23_e.htm
Aid-for-Trade monitoring and evaluation exercise gets under way,News item,https://www.wto.org/english/news_e/news23_e/aid_09oct23_e.htm
"Australia gives CHF 30,000 to support LDCs’ participation in MC13",Press release,https://www.wto.org/english/news_e/pres23_e/pr934_e.htm
"Members discuss improvements to service exports data in LDCs, COVID-19, WTO reform",News item,https://www.wto.org/english/news_e/news23_e/serv_05oct23_e.htm
WTO members look into role of preferential rules of origin in expanding LDC trade,News item,https://www.wto.org/english/news_e/news23_e/ldevc_05oct23_e.htm
WTO Chairs Programme issues call for applications,News item,https://www.wto.org/english/news_e/news23_e/chair_04oct23_e.htm
"Japan gives over CHF 55,000 to help LDCs engage in fisheries subsidies negotiations",Press release,https://www.wto.org/english/news_e/pres23_e/pr933_e.htm
DG Okonjo-Iweala calls on WTO members to deliver for development at MC13,News item,https://www.wto.org/english/news_e/news23_e/devel_28sep23_e.htm
WTO Introductory Trade Policy Course for LDCs begins in Geneva,News item,https://www.wto.org/english/news_e/news23_e/tra_25sep23_e.htm
WTO Introductory Trade Policy Course for LDCs begins in Geneva,More on WTO training courses,https://www.wto.org/english/tratop_e/devel_e/train_e/course_details_e.htm
WTO Introductory Trade Policy Course for LDCs begins in Geneva,More on trade and development,https://www.wto.org/english/tratop_e/devel_e/devel_e.htm
WTO Introductory Trade Policy Course for LDCs begins in Geneva,More on Least-developed countries (LDCs),https://www.wto.org/english/tratop_e/devel_e/dev_sub_committee_ldc_e.htm
WTO regional trade policy course underway in Mauritius,News item,https://www.wto.org/english/news_e/news23_e/tra_18sep23_e.htm
