title,type,url
Plastics Pollution Dialogue makes further headway on draft MC13 statement,News item,https://www.wto.org/english/news_e/news23_e/ppesp_23nov23_e.htm
WTO members examine proposals to deepen discussions on trade and environment,News item,https://www.wto.org/english/news_e/news23_e/envir_16nov23_e.htm
WTO Secretariat to highlight role of trade policy for climate action at COP28 in Dubai,News item,https://www.wto.org/english/news_e/news23_e/cop28_09nov23_e.htm
WTO launches new online course on trade and sustainable waste management,News item,https://www.wto.org/english/news_e/news23_e/tech_07nov23_e.htm
WTO and partner organizations unveil Trade House pavilion for UN COP28 climate summit,News item,https://www.wto.org/english/news_e/news23_e/envir_26oct23_e.htm
"DDG Paugam: Trade is becoming more political, more sustainable, more traceable",News item,https://www.wto.org/english/news_e/news23_e/ddgjp_03oct23_e.htm
"DG Okonjo-Iweala: Trade is important for innovation, women’s economic empowerment, climate",News item,https://www.wto.org/english/news_e/news23_e/msmes_28sep23_e.htm
Plastics Pollution Dialogue makes progress on draft MC13 statement,News item,https://www.wto.org/english/news_e/news23_e/ppesp_21sep23_e.htm
"High-level panel discusses inclusive strategies for climate action, sustainable trade",News item,https://www.wto.org/english/news_e/news23_e/pf23_14sep23_e.htm
Steel industry highlights importance of trade policy in decarbonisation efforts ahead of COP28,News item,https://www.wto.org/english/news_e/news23_e/clim_14sep23_e.htm
WTO to help put the spotlight on trade at COP28,News item,https://www.wto.org/english/news_e/news23_e/envir_20jul23_e.htm
DDG Ellard showcases WTO’s work in delivering global public goods at award event,News item,https://www.wto.org/english/news_e/news23_e/ddgae_19jul23_e.htm
Third Fossil Fuel Subsidy Reform meeting discusses concrete next steps to advance work,News item,https://www.wto.org/english/news_e/news23_e/ffsr_18jul23_e.htm
Members discuss possible TESSD outcomes for delivery at MC13,News item,https://www.wto.org/english/news_e/news23_e/tessd_11jul23_e.htm
High-level panel urges action on triple planetary crisis at Trade and Environment Week,News item,https://www.wto.org/english/news_e/news23_e/envir_13jun23_e.htm
Trade and Environment Week 2023 to spotlight collective trade solutions for sustainability,News item,https://www.wto.org/english/news_e/news23_e/envir_09jun23_e.htm
Plastics Pollution Dialogue unveils elements of potential outcome for MC13,News item,https://www.wto.org/english/news_e/news23_e/ppesp_25may23_e.htm
DDG Paugam: Global cooperation is vital to combat plastic pollution,News item,https://www.wto.org/english/news_e/news23_e/ddgjp_02may23_e.htm
"WTO, World Bank, WEF launch joint effort to provide tailored trade and climate analysis",News item,https://www.wto.org/english/news_e/news23_e/envir_20apr23_e.htm
"DDG Ellard urges prompt acceptance of Fisheries Subsidies Agreement, completion of talks",News item,https://www.wto.org/english/news_e/news23_e/ddgae_06apr23_e.htm
"Public Forum 2023 to examine how trade can contribute to a greener, more sustainable future",News item,https://www.wto.org/english/news_e/news23_e/pf23_30mar23_e.htm
Members advance work on environmental issues in specific sectors after stocktaking event,News item,https://www.wto.org/english/news_e/news23_e/tessd_17mar23_e.htm
"Environment committee draws members’ broad engagement, considers proposals to enhance work",News item,https://www.wto.org/english/news_e/news23_e/envir_15mar23_e.htm
"Plastics Dialogue participants brainstorm on MC13 outcomes, welcome US co-sponsorship",News item,https://www.wto.org/english/news_e/news23_e/ppesp_14mar23_e.htm
Trade Forum for Decarbonization Standards: Promoting coherence and transparency in the steel sector,News item,https://www.wto.org/english/news_e/news23_e/ddgjp_09mar23_e.htm
Cooperation on standards at WTO could speed up steel sector decarbonization: Trade Forum,News item,https://www.wto.org/english/news_e/news23_e/clim_09mar23_e.htm
DDG Paugam: A mix of trade policy approaches is needed to achieve sustainability goals,News item,https://www.wto.org/english/news_e/news23_e/ddgjp_20feb23_e.htm
Plastics Dialogue participants prepare ground for achieving outcomes at MC13,News item,https://www.wto.org/english/news_e/news23_e/ppesp_16feb23_e.htm
Second Fossil Fuel Subsidy Reform meeting focuses on social and development issues,News item,https://www.wto.org/english/news_e/news23_e/envir_15feb23_e.htm
Event on decarbonization standards to promote transparency and coherence in steel sector,News item,https://www.wto.org/english/news_e/news23_e/clim_14feb23_e.htm
"DDG Ellard discusses benefits of multilateralism, risks of unilateralism, WTO reform",News item,https://www.wto.org/english/news_e/news23_e/ddgae_13feb23_e.htm
DG Okonjo-Iweala highlights importance of trade cooperation at new carbon mitigation forum,News item,https://www.wto.org/english/news_e/news23_e/envir_09feb23_e.htm
"WTO issues information note on steel decarbonization standards, readies for March event",News item,https://www.wto.org/english/news_e/news22_e/clim_21dec22_e.htm
WTO going green,Blog,https://www.wto.org/english/blogs_e/ddg_anabel_gonzalez_e/blog_ag_19dec22_e.htm
"Plastics Dialogue hails substantive progress, sets path towards achieving concrete results",News item,https://www.wto.org/english/news_e/news22_e/ppesp_07dec22_e.htm
TESSD High-Level Stocktaking Event,News item,https://www.wto.org/english/news_e/news22_e/ddgjp_02dec22_e.htm
"Members take stock of sustainability discussions, signal priorities for concrete action",News item,https://www.wto.org/english/news_e/news22_e/tessd_02dec22_e.htm
"Participants advance work on environmental sustainability, eye high-level event",News item,https://www.wto.org/english/news_e/news22_e/tessd_15nov22_e.htm
WTO joins call for greener markets and trade logistics to promote low-carbon transition,News item,https://www.wto.org/english/news_e/news22_e/cop27_11nov22_e.htm
DG Okonjo-Iweala: Make trade and investment a key part of delivering on climate action,News item,https://www.wto.org/english/news_e/news22_e/cop27_10nov22_e.htm
DG Okonjo-Iweala: World “cannot afford to leave trade and WTO behind” in climate actions,News item,https://www.wto.org/english/news_e/news22_e/publ_08nov22_e.htm
DG joins world leaders in call to mobilize USD 12.5 billion for climate action in Africa,News item,https://www.wto.org/english/news_e/news22_e/clim_08nov22_e.htm
DG Okonjo-Iweala: Trade is critical in global response to climate change,News item,https://www.wto.org/english/news_e/news22_e/cop27_08nov22_e.htm
DG Okonjo-Iweala: Trade is essential part of climate action efforts to achieve food security,News item,https://www.wto.org/english/news_e/news22_e/fsec_08nov22_e.htm
"Trade must be a cornerstone of climate action, urges World Trade Report released at COP27",News item,https://www.wto.org/english/news_e/news22_e/publ_07nov22_e.htm
WTO to champion importance of trade in climate action toolkit at COP27 climate summit,News item,https://www.wto.org/english/news_e/news22_e/cop27_04nov22_e.htm
Members affirm environment committee’s importance at end of Trade and Environment Week,News item,https://www.wto.org/english/news_e/news22_e/envir_21oct22_e.htm
High level event on multilateral trade and environment cooperation: Answering crisis and furthering resilience,News item,https://www.wto.org/english/news_e/news22_e/ddgno_17oct22_e.htm
"Work fast and work together, speakers urge at opening of Trade and Environment Week",News item,https://www.wto.org/english/news_e/news22_e/envir_17oct22_e.htm
