title,type,url
"DG Okonjo-Iweala: Trade is important for innovation, women’s economic empowerment, climate",News item,https://www.wto.org/english/news_e/news23_e/msmes_28sep23_e.htm
Members discuss possible TESSD outcomes for delivery at MC13,News item,https://www.wto.org/english/news_e/news23_e/tessd_11jul23_e.htm
Members advance work on environmental issues in specific sectors after stocktaking event,News item,https://www.wto.org/english/news_e/news23_e/tessd_17mar23_e.htm
"Environment committee draws members’ broad engagement, considers proposals to enhance work",News item,https://www.wto.org/english/news_e/news23_e/envir_15mar23_e.htm
TESSD High-Level Stocktaking Event,News item,https://www.wto.org/english/news_e/news22_e/ddgjp_02dec22_e.htm
TESSD High-Level Stocktaking Event,Speech,https://www.wto.org/english/news_e/spno_e/spno34_e.htm
"Members take stock of sustainability discussions, signal priorities for concrete action",News item,https://www.wto.org/english/news_e/news22_e/tessd_02dec22_e.htm
"Participants advance work on environmental sustainability, eye high-level event",News item,https://www.wto.org/english/news_e/news22_e/tessd_15nov22_e.htm
Preparations under way for high-level event on environmental sustainability in December,News item,https://www.wto.org/english/news_e/news22_e/tessd_20jul22_e.htm
WTO members share early results and plans to ramp up action on trade and environment,News item,https://www.wto.org/english/news_e/news22_e/envir_13jun22_e.htm
Members deepen discussions on trade and environmental sustainability,News item,https://www.wto.org/english/news_e/news22_e/tessd_18may22_e.htm
Members launch discussions under trade and environmental sustainability work plan for 2022,News item,https://www.wto.org/english/news_e/news22_e/tessd_31mar22_e.htm
Participants discuss work plan for new trade and environmental sustainability talks,News item,https://www.wto.org/english/news_e/news22_e/tessd_07feb22_e.htm
"Launch event of ministerial statements on trade, environment and sustainable development",News item,https://www.wto.org/english/news_e/news21_e/ddgjp_15dec21_e.htm
New initiatives seek to put environment at heart of trade discussions,News item,https://www.wto.org/english/news_e/news21_e/envir_15dec21_e.htm
DDG Paugam highlights MC12 expectations for WTO at EU Parliament event,News item,https://www.wto.org/english/news_e/news21_e/ddgjp_11nov21_e.htm
"China, US welcomed as new participants in trade and environmental sustainability talks",News item,https://www.wto.org/english/news_e/news21_e/tessd_04nov21_e.htm
Members advance work on trade and environmental sustainability ministerial declaration,News item,https://www.wto.org/english/news_e/news21_e/tessd_21sep21_e.htm
Members review draft MC12 declaration on trade and environmental sustainability,News item,https://www.wto.org/english/news_e/news21_e/tessd_21jul21_e.htm
Members discuss possible MC12 deliverables on trade and environmental sustainability,News item,https://www.wto.org/english/news_e/news21_e/tessd_28may21_e.htm
First meeting held to advance work on trade and environmental sustainability,News item,https://www.wto.org/english/news_e/news21_e/tessd_08mar21_e.htm
DG Okonjo-Iweala hits the ground running,News item,https://www.wto.org/english/news_e/news21_e/dgno_05mar21_e.htm
New initiatives launched to intensify WTO work on trade and the environment,News item,https://www.wto.org/english/news_e/news20_e/envir_17nov20_e.htm
