title,type,url
Trade facilitation measures most commonly needing implementation assistance spotlighted,News item,https://www.wto.org/english/news_e/news23_e/fac_05oct23_e.htm
Members hold robust discussions on implementing Trade Facilitation Agreement,News item,https://www.wto.org/english/news_e/news23_e/fac_16jun23_e.htm
"DDG González: A stronger WTO is good for people, planet and prosperity",News item,https://www.wto.org/english/news_e/news23_e/ddgag_25apr23_e.htm
"DDG González: To make trade more inclusive, make it easier, faster and less costly",News item,https://www.wto.org/english/news_e/news23_e/ddgag_13apr23_e.htm
"Trade Facilitation Agreement has increased trade by over US$ 230 billion, new study finds",News item,https://www.wto.org/english/news_e/news23_e/fac_27mar23_e.htm
Trade Facilitation Committee — Dedicated Session on Technical Assistance and Capacity Building Support,Speech,https://www.wto.org/english/news_e/spno_e/spno33_e.htm
"Members put trade facilitation support in sharper focus, aim to close gaps in next 2 years",News item,https://www.wto.org/english/news_e/news22_e/fac_01dec22_e.htm
"Members mark 5th anniversary of Trade Facilitation Agreement, share experiences on impact",News item,https://www.wto.org/english/news_e/news22_e/fac_04jul22_e.htm
Members reinvigorate Trade Facilitation Agreement monitoring following last year’s review,News item,https://www.wto.org/english/news_e/news22_e/fac_05apr22_e.htm
"WTO, WCO launch publication on role of latest technologies in facilitating trade",News item,https://www.wto.org/english/news_e/news22_e/publ_29mar22_e.htm
DDG González: The WTO’s work on trade facilitation benefits small businesses,News item,https://www.wto.org/english/news_e/news22_e/ddgag_10mar22_e.htm
Supply chain resilience highlighted at fifth anniversary of Trade Facilitation Agreement,News item,https://www.wto.org/english/news_e/news22_e/fac_22feb22_e.htm
Second meeting of Latin American National Trade Facilitation Committees concludes,News item,https://www.wto.org/english/news_e/news22_e/fac_07feb22_e.htm
DDG González: “Trade facilitation and economic resilience are two sides of the same coin”,News item,https://www.wto.org/english/news_e/news22_e/ddgag_01feb22_e.htm
Members conclude milestone review of Trade Facilitation Agreement,News item,https://www.wto.org/english/news_e/news21_e/fac_26nov21_e.htm
"Czech Republic gives CZK 550,000 to help developing countries implement TFA",Press release,https://www.wto.org/english/news_e/pres21_e/pr893_e.htm
Members hold dedicated session on supporting TFA implementation,News item,https://www.wto.org/english/news_e/news21_e/fac_21oct21_e.htm
WTO members note updates on implementation of Trade Facilitation Agreement,News item,https://www.wto.org/english/news_e/news21_e/fac_20jul21_e.htm
WTO members advance first review of Trade Facilitation Agreement,News item,https://www.wto.org/english/news_e/news21_e/fac_22jun21_e.htm
WTO members note further progress on Trade Facilitation Agreement implementation,News item,https://www.wto.org/english/news_e/news21_e/fac_23apr21_e.htm
WTO members adopt roadmap to review implementation of the Trade Facilitation Agreement,News item,https://www.wto.org/english/news_e/news21_e/fac_03mar21_e.htm
COVID-19 continued focus of trade facilitation discussions,News item,https://www.wto.org/english/news_e/news21_e/fac_27jan21_e.htm
"Czech Republic gives CZK 550,000 to support implementation of Trade Facilitation Agreement",Press release,https://www.wto.org/english/news_e/pres20_e/pr868_e.htm
Members cite role of trade facilitation in ensuring access to goods to tackle COVID-19,News item,https://www.wto.org/english/news_e/news20_e/fac_22oct20_e.htm
DDG Yi praises WCO-WTO partnership in implementation of Customs Valuation Agreement,News item,https://www.wto.org/english/news_e/news20_e/ddgyx_12oct20_e.htm
Third anniversary of Trade Facilitation Agreement sees increasing implementation rate,News item,https://www.wto.org/english/news_e/news20_e/fac_22feb20_e.htm
Prompt submission of notifications urged for full implementation of Trade Facilitation Agreement,News item,https://www.wto.org/english/news_e/news20_e/fac_11feb20_e.htm
WTO members mark milestone in implementation of Trade Facilitation Agreement,News item,https://www.wto.org/english/news_e/news19_e/fac_24oct19_e.htm
WTO members review progress of Trade Facilitation Agreement implementation,News item,https://www.wto.org/english/news_e/news19_e/fac_25jun19_e.htm
DDG Wolff: Global trade rules can help Central Asia address connectivity challenges,News item,https://www.wto.org/english/news_e/news19_e/ddgra_19feb19_e.htm
Members discuss progress and assistance on Trade Facilitation Agreement’s 2nd year,News item,https://www.wto.org/english/news_e/news19_e/fac_14feb19_e.htm
France pledges EUR 4.5 million to strengthen trade skill set of developing countries,Press release,https://www.wto.org/english/news_e/pres18_e/pr830_e.htm
Members exchange experiences with implementing the Trade Facilitation Agreement,News item,https://www.wto.org/english/news_e/news18_e/fac_09oct18_e.htm
World MSME Day: DG Azevêdo cites WTO members’ progress in helping small businesses,Speech,https://www.wto.org/english/news_e/spra_e/spra227_e.htm
WTO members take stock of progress on implementing Trade Facilitation Agreement,News item,https://www.wto.org/english/news_e/news18_e/fac_26jun18_e.htm
"Launch of OECD book, ‘Trade Facilitation and the Global Economy’, at the WTO",Remarks by DG Azevêdo,https://www.wto.org/english/news_e/spra_e/spra225_e.htm
Symposium highlights role of Trade Facilitation Agreement in easing global flow of goods,News item,https://www.wto.org/english/news_e/news18_e/fac_04jun18_e.htm
Members intensify work to ensure full implementation of the Trade Facilitation Agreement,News item,https://www.wto.org/english/news_e/news18_e/fac_02may18_e.htm
Trade Facilitation Agreement marks first anniversary since entry into force,News item,https://www.wto.org/english/news_e/news18_e/fac_22feb18_e.htm
China donates USD 1 million to support implementation of Trade Facilitation Agreement,Press release,https://www.wto.org/english/news_e/pres18_e/pr816_e.htm
Argentina ratifies the Trade Facilitation Agreement,News item,https://www.wto.org/english/news_e/news18_e/fac_22jan18_e.htm
Public and private sector leaders exchange best practices to implement Trade Facilitation Agreement,News item,https://www.wto.org/english/news_e/news17_e/fac_12dec17_e.htm
Sixth China Round Table: Strengthening the Rules-based Multilateral Trading System and Building a Network to Promote Accessions,Remarks by DG Azevêdo,https://www.wto.org/english/news_e/spra_e/spra203_e.htm
Sixth China Round Table reaffirms commitment to LDCs seeking WTO accession,News item,https://www.wto.org/english/news_e/news17_e/acc_09dec17_e.htm
Saint Petersburg State University hosts workshop on WTO customs rules,News item,https://www.wto.org/english/news_e/news17_e/chair_07dec17_e.htm
Members enter into substantive discussions on implementation of Trade Facilitation Agreement,News item,https://www.wto.org/english/news_e/news17_e/fac_03nov17_e.htm
WTO members step up work to ensure implementation of Trade Facilitation Agreement,News item,https://www.wto.org/english/news_e/news17_e/fac_19jul17_e.htm
Trade facilitation key to addressing needs of developing countries,News item,https://www.wto.org/english/news_e/news17_e/fac_13jul17_e.htm
2017 Global Review of Aid for Trade: STDF session – Transitioning from paper-based to automated SPS systems,Remarks by DG Azevêdo,https://www.wto.org/english/news_e/spra_e/spra187_e.htm
New publication shares best practices for National Committees on Trade Facilitation,News item,https://www.wto.org/english/news_e/news17_e/fac_09jun17_e.htm
"Workshop on Trade Facilitation Agreement takes place at Universitas Gadjah Mada, Indonesia",News item,https://www.wto.org/english/news_e/news17_e/chair_08jun17_e.htm
From vision to reality: event celebrates success of the Trade Facilitation Agreement,News item,https://www.wto.org/english/news_e/news17_e/fac_02jun17_e.htm
TFA event: “The WTO Agreement on Trade Facilitation: from vision to reality – and to the future”,Speech,https://www.wto.org/english/news_e/spra_e/spra175_e.htm
Committee on Trade Facilitation meets for first time,News item,https://www.wto.org/english/news_e/news17_e/fac_16may17_e.htm
DDG Agah urges African nations to seize opportunities for trade facilitation assistance,News item,https://www.wto.org/english/news_e/news17_e/ddgra_08may17_e.htm
WTO members discuss trade facilitation provisions in RTAs,News item,https://www.wto.org/english/news_e/news17_e/rta_03apr17_e.htm
WTO members welcome entry into force of the Trade Facilitation Agreement,News item,https://www.wto.org/english/news_e/news17_e/fac_27feb17_e.htm
WTO Press Conference — Entry into force of Trade Facilitation Agreement,Remarks by DG Azevêdo,https://www.wto.org/english/news_e/spra_e/spra157_e.htm
WTO’s Trade Facilitation Agreement enters into force,News item,https://www.wto.org/english/news_e/news17_e/fac_31jan17_e.htm
WTO’s Trade Facilitation Agreement enters into force,Press Conference,https://www.wto.org/audio/2017_02_22_pressconference.mp3
Advanced course ends for chairs of National Committees on Trade Facilitation,News item,https://www.wto.org/english/news_e/news17_e/fac_10feb17_e.htm
Nepal ratifies the Trade Facilitation Agreement,News item,https://www.wto.org/english/news_e/news17_e/fac_24jan17_e.htm
International Forum for National Trade Facilitation Committees — Palais des Nations,Remarks by DG Azevêdo,https://www.wto.org/english/news_e/spra_e/spra153_e.htm
