title,type,url
DG Okonjo-Iweala calls for enhanced efforts to boost access to trade finance,News item,https://www.wto.org/english/news_e/news23_e/dgno_13oct23_e.htm
DG Okonjo-Iweala: Trade finance is lifeblood for African small businesses,News item,https://www.wto.org/english/news_e/news23_e/trfin_21mar23_e.htm
"WTO, IFC launch joint publication on trade finance in West Africa",News item,https://www.wto.org/english/news_e/news22_e/publ_12oct22_e.htm
DG Okonjo-Iweala underlines need to help African small businesses access trade finance,News item,https://www.wto.org/english/news_e/news22_e/trfin_23may22_e.htm
WTO Gender Research Hub thinks up ways to address gender gaps in trade finance,News item,https://www.wto.org/english/news_e/news22_e/women_09mar22_e.htm
WTO Gender Research Hub kicks off Think Up! series with discussion on trade finance gap,News item,https://www.wto.org/english/news_e/news22_e/women_28feb22_e.htm
"WTO, IFC heads agree to enhance cooperation on trade finance",News item,https://www.wto.org/english/news_e/news21_e/igo_29nov21_e.htm
DG calls for action on trade finance,News item,https://www.wto.org/english/news_e/news21_e/trfin_17may21_e.htm
"WTO, ICC and B20 call for action to narrow the growing trade finance gap",News item,https://www.wto.org/english/news_e/news20_e/trfin_08jul20_e.htm
Heads of WTO and development banks voice support for trade finance amid COVID-19 crisis,News item,https://www.wto.org/english/news_e/news20_e/trfin_01jul20_e.htm
IMF and WTO heads call for lifting trade restrictions on medical supplies and food,News item,https://www.wto.org/english/news_e/news20_e/igo_15apr20_e.htm
WTO-IFC publication launch: “Trade Finance and the Compliance Challenge: A Showcase of International Cooperation”,Speech,https://www.wto.org/english/news_e/spra_e/spra273_e.htm
New WTO-IFC report showcases international cooperation in addressing trade finance gap,News item,https://www.wto.org/english/news_e/news19_e/trfin_03jul19_e.htm
DDG Wolff: More institutional cooperation is needed to address shortages of trade finance,News item,https://www.wto.org/english/news_e/news19_e/ddgaw_01mar19_e.htm
"WTO joins with IFC, regional development banks and IMF to boost financial inclusion in trade",News item,https://www.wto.org/english/news_e/news18_e/dgra_09oct18_e.htm
"Azevêdo highlights ‘significant progress’ on trade finance, outlines further actions",Speech,https://www.wto.org/english/news_e/spra_e/spra224_e.htm
DG Azevêdo: Lack of trade finance a major obstacle for SMEs,News item,https://www.wto.org/english/news_e/news16_e/dgra_31may16_e.htm
"Working Group on Trade, Debt and Finance",Remarks by Director-General Roberto Azevêdo,https://www.wto.org/english/news_e/spra_e/spra125_e.htm
DG Azevêdo calls for action to provide trade finance for small businesses,News item,https://www.wto.org/english/news_e/news16_e/trfin_04may16_e.htm
Azevêdo urges UN’s Financing for Development summit to ‘close gaps’ in trade finance,News item,https://www.wto.org/english/news_e/news15_e/dgra_13jul15_e.htm
Azevêdo says lack of trade finance can be a significant trade barrier for developing countries,Speech,https://www.wto.org/english/news_e/spra_e/spra51_e.htm
Azevêdo says lack of trade finance can be a significant trade barrier for developing countries,Statement by Roberto Azevêdo,https://www.wto.org/audio/2015_03_26_dgspeech.mp3
Azevêdo hails Basel decision on trade finance as “good news” for developing countries,News item,https://www.wto.org/english/news_e/news14_e/dgra_17jan14_e.htm
Lamy urges financiers to push for stronger law and order in commodities,Speech,https://www.wto.org/english/news_e/sppl_e/sppl236_e.htm
WTO Seminar on Exchange Rates and Trade,News item,https://www.wto.org/english/news_e/news12_e/devel_27mar12_e.htm
WTO to organize seminar on exchange rates and trade,News item,https://www.wto.org/english/news_e/news11_e/devel_25nov11_e.htm
Lamy outlines benefits of changes to Basel framework for trade finance,Report by the Chairman of the Trade Negotiations Committee,https://www.wto.org/english/news_e/news11_e/gc_rpt_26oct11_e.htm
Lamy outlines benefits of changes to Basel framework for trade finance,Audio: Statement by Pascal Lamy,https://www.wto.org/audio/2011_10_26_gc_lamy_stat.mp3
Lamy outlines benefits of changes to Basel framework for trade finance,Summary of the General Council meeting,https://www.wto.org/english/news_e/news11_e/sum_gc_oct11_e.htm
Lamy outlines benefits of changes to Basel framework for trade finance,Proposed agenda,https://www.wto.org/english/thewto_e/gcounc_e/meet_oct11_e.htm
"Lamy, Zoellick hail Basel decision on trade finance",News item,https://www.wto.org/english/news_e/news11_e/trfin_25oct11_e.htm
WTO Secretariat reviews literature on the relationship between exchange rates and trade,News item,https://www.wto.org/english/news_e/news11_e/trfin_27sep11_e.htm
Lamy urges more trade finance for developing countries,Speech,https://www.wto.org/english/news_e/sppl_e/sppl158_e.htm
Lamy: “Strengthening the WTO as the global trade body”,Statement by Pascal Lamy,https://www.wto.org/english/news_e/news09_e/tnc_chair_report_29apr09_e.htm
Lamy: “Strengthening the WTO as the global trade body”,Audio: Statement by Pascal Lamy,https://www.wto.org/audio/2009_04_29_gc_lamy_stat.mp3
Lamy welcomes G20 Summit’s pledge to support trade finance,G20 communiqué,http://www.londonsummit.gov.uk/resources/en/news/15766232/communique-020409
Trade Finance: Make it work for women,News item,https://www.wto.org/english/news_e/news09_e/fac_10mar09_e.htm
