title,type,url
"WTO, St. Gallen University launch trade for peace research project",News item,https://www.wto.org/english/news_e/news23_e/tfp_28sep23_e.htm
Panel explores role of trade in addressing global fragility and conflict,News item,https://www.wto.org/english/news_e/news23_e/tfp_20jul23_e.htm
DDG Zhang: Women’s perspectives are crucial to achieve sustainable peace through trade,News item,https://www.wto.org/english/news_e/news23_e/ddgxz_31mar23_e.htm
Future leaders look at ways to increase youth engagement in trade for peace worldwide,News item,https://www.wto.org/english/news_e/news23_e/tfp_27feb23_e.htm
First Interdisciplinary Master’s Course on Trade for Peace successfully concludes,News item,https://www.wto.org/english/news_e/news22_e/tfp_14dec22_e.htm
Trade for Peace Research and Knowledge Hub reviews latest research collaboration,News item,https://www.wto.org/english/news_e/news22_e/tfp_07dec22_e.htm
Trade for Peace Week looks at fragile and conflict-affected states’ WTO integration,News item,https://www.wto.org/english/news_e/news22_e/tfp_14nov22_e.htm
Public Forum session highlights importance of youth engagement in trade and peacebuilding,News item,https://www.wto.org/english/news_e/news22_e/pf22_30sep22_e.htm
g7+ Accessions Group urges WTO to play active role in promoting peace,News item,https://www.wto.org/english/news_e/news22_e/acc_20jun22_e.htm
"DDG Zhang: trade for peace, one of the raisons d’être of the multilateral trading system",News item,https://www.wto.org/english/news_e/news22_e/ddgxz_15mar22_e.htm
WTO and Kazakhstan host Trade for Peace Week 2021 with focus on trade and global security,News item,https://www.wto.org/english/news_e/news21_e/tfp_17nov21_e.htm
DDG Zhang stresses role of trade in advancing development and facilitating peace,News item,https://www.wto.org/english/news_e/news21_e/ddgxz_10nov21_e.htm
DDG Zhang champions cross-cutting partnerships as way forward for peacebuilding efforts,News item,https://www.wto.org/english/news_e/news21_e/ddgxz_11nov21_e.htm
g7+ WTO Accessions Group to advance Trade for Peace agenda in run-up to MC12,News item,https://www.wto.org/english/news_e/news21_e/tfp_05oct21_e.htm
"WTO, ITC reflect on five years of Liberia’s WTO membership",News item,https://www.wto.org/english/news_e/news21_e/acc_04oct21_e.htm
Geneva Trade Week 2021 Opening Plenary — Trade for Peace,Speech,https://www.wto.org/english/news_e/spno_e/spno17_e.htm
DG Okonjo-Iweala launches discussion on “trade for peace” at Geneva Trade Week,News item,https://www.wto.org/english/news_e/news21_e/acc_27sep21_e.htm
Call for papers issued for WTO Trade for Peace Programme,News item,https://www.wto.org/english/news_e/news21_e/tfp_13aug21_e.htm
Trade for Peace Programme marks fifth anniversary of Liberia and Afghanistan joining WTO,News item,https://www.wto.org/english/news_e/news21_e/acc_12jul21_e.htm
DDG Zhang highlights power of trade in transforming economies and people’s livelihoods,News item,https://www.wto.org/english/news_e/news21_e/ddgxz_07jul21_e.htm
"DDG Zhang highlights role of trade in promoting security, peace and development",News item,https://www.wto.org/english/news_e/news21_e/ddgxz_17jun21_e.htm
WTO launches Trade for Peace Network in support of fragile and conflict-affected states,News item,https://www.wto.org/english/news_e/news21_e/acc_29mar21_e.htm
DDG Wolff calls for deepening work on “Trade for Peace” efforts,News item,https://www.wto.org/english/news_e/news20_e/ddgaw_04dec20_e.htm
DDG Wolff calls for more structured WTO cooperation with humanitarian and peace communities,News item,https://www.wto.org/english/news_e/news20_e/ddgaw_30nov20_e.htm
WTO to host first Trade for Peace Week,News item,https://www.wto.org/english/news_e/news20_e/acc_25nov20_e.htm
"DDG Wolff: Trade for peace is more than a slogan, it is hope for a better future",News item,https://www.wto.org/english/news_e/news20_e/ddgaw_17jul20_e.htm
DDG Wolff: Trade and peace are intimately related,News item,https://www.wto.org/english/news_e/news20_e/ddgaw_16jun20_e.htm
DDG Wolff: Acceding countries are best champions of trading system “as a support for peace”,News item,https://www.wto.org/english/news_e/news19_e/ddgaw_09oct19_e.htm
