title,type,url
Report of the TPRB from the Director-General on trade-related developments,Speech,https://www.wto.org/english/news_e/spno_e/spno38_e.htm
"WTO members facilitate imports, reduce trade restrictions, but food export curbs persist",News item,https://www.wto.org/english/news_e/news23_e/tmwto_27jul23_e.htm
"Members agree trade policy review enhancement, delivering WTO reform proposal for MC13",News item,https://www.wto.org/english/news_e/news23_e/tpr_26jul23_e.htm
"Report shows many G20 export restrictions remain in place, including on food and fertilizers",News item,https://www.wto.org/english/news_e/news23_e/trdev_04jul23_e.htm
WTO issues note on trade policy developments following one year of war in Ukraine,News item,https://www.wto.org/english/news_e/news23_e/trdev_02mar23_e.htm
"Report shows increase in trade restrictions amidst economic uncertainty, multiple crises",News item,https://www.wto.org/english/news_e/news22_e/tmwto_06dec22_e.htm
WTO report shows G20 trade restrictions increasing amidst economic challenges,News item,https://www.wto.org/english/news_e/news22_e/trdev_14nov22_e.htm
Report of the TPRB from the Director-General on trade-related developments,Speech,https://www.wto.org/english/news_e/spno_e/spno30_e.htm
WTO members show restraint in trade-restrictive measures despite economic uncertainty,News item,https://www.wto.org/english/news_e/news22_e/trdev_27jul22_e.htm
G20 economies show restraint in use of trade restrictions amidst ongoing instability,News item,https://www.wto.org/english/news_e/news22_e/trdev_07jul22_e.htm
Monitoring report shows continued but slow rollback of COVID-19 related trade restrictions,News item,https://www.wto.org/english/news_e/news21_e/trdev_09dec21_e.htm
New WTO report on G20 shows restraint in new pandemic-related trade restrictions,News item,https://www.wto.org/english/news_e/news21_e/trdev_28oct21_e.htm
Informal Trade Policy Review Body meeting — Trade Monitoring Report,Speech,https://www.wto.org/english/news_e/spno_e/spno13_e.htm
WTO report: Full trade recovery at risk without equitable vaccine roll-out,News item,https://www.wto.org/english/news_e/news21_e/trdev_29jul21_e.htm
WTO report: Trade policy restraint prevented destructive acceleration of protectionism,News item,https://www.wto.org/english/news_e/news21_e/trdev_28jun21_e.htm
What’s up on services? The WTO’s Trade Monitoring Database can help!,News item,https://www.wto.org/english/news_e/news21_e/serv_20apr21_e.htm
Report shows marked decline in trade restrictions by WTO members amidst COVID-19 pandemic,News item,https://www.wto.org/english/news_e/news20_e/trdev_11dec20_e.htm
Trade Policy Review Body — Trade Monitoring Overview of Developments in the International Trading Environment,News item,https://www.wto.org/english/news_e/news20_e/ddgya_11dec20_e.htm
WTO report shows slowdown in G20 trade restrictions as COVID-19 impacts world economy,News item,https://www.wto.org/english/news_e/news20_e/trdev_18nov20_e.htm
DDG Wolff: I am optimistic about improving transparency at the WTO,News item,https://www.wto.org/english/news_e/news20_e/ddgaw_01oct20_e.htm
DDG Agah launches preparatory process for WTO’s end-of-year trade monitoring reports,News item,https://www.wto.org/english/news_e/news20_e/trdev_04sep20_e.htm
Informal Trade Policy Review Body meeting — trade monitoring report,Speech,https://www.wto.org/english/news_e/spra_e/spra305_e.htm
WTO report shows members moving to facilitate imports even as trade restrictions remain high,News item,https://www.wto.org/english/news_e/news20_e/trdev_24jul20_e.htm
WTO report on G20 shows moves to facilitate imports even as trade restrictions remain widespread,News item,https://www.wto.org/english/news_e/news20_e/trdev_29jun20_e.htm
Report shows trade restrictions by WTO members at historically high levels,News item,https://www.wto.org/english/news_e/news19_e/dgra_12dec19_e.htm
Conference marks 30 years of the WTO’s Trade Policy Review Mechanism,News item,https://www.wto.org/english/news_e/news19_e/tpr_27nov19_e.htm
Trade restrictions among G20 economies remain at historic highs,News item,https://www.wto.org/english/news_e/news19_e/trdev_21nov19_e.htm
Deadline for registering for Trade Policy Review Conference extended to 20 November,News item,https://www.wto.org/english/news_e/news19_e/tpr_07nov19_e.htm
Informal Trade Policy Review Body meeting — trade monitoring report,Speech,https://www.wto.org/english/news_e/spra_e/spra279_e.htm
Trade-restrictive measures continue at historically high level,News item,https://www.wto.org/english/news_e/news19_e/trdev_22jul19_e.htm
WTO report shows trade restrictions among G20 continuing at historic high levels,News item,https://www.wto.org/english/news_e/news19_e/trdev_24jun19_e.htm
10 years of WTO monitoring — enhancing trade policy transparency and predictability,News item,https://www.wto.org/english/news_e/news19_e/trdev_01may19_e.htm
WTO’s Trade Policy Review Mechanism turns 30,News item,https://www.wto.org/english/news_e/news19_e/tpr_12apr19_e.htm
Trade Policy Review Body: Overview of developments in the international trading environment,Speech,https://www.wto.org/english/news_e/spra_e/spra249_e.htm
Report shows sharp rise in the coverage of trade-restrictive measures from WTO members,News item,https://www.wto.org/english/news_e/news18_e/trdev_11dec18_e.htm
WTO report shows sharp rise in trade-restrictive measures from G20 economies,News item,https://www.wto.org/english/news_e/news18_e/trdev_22nov18_e.htm
Monitoring report shows increase of new trade restrictions from WTO members,News item,https://www.wto.org/english/news_e/news18_e/trdev_25jul18_e.htm
Rate of new trade restrictions from G20 economies doubles against previous period,News item,https://www.wto.org/english/news_e/news18_e/monit_04jul18_e.htm
Trade Policy Review Body: Overview of developments in the international trading environment,Remarks by DG Azevêdo,https://www.wto.org/english/news_e/spra_e/spra202_e.htm
WTO members show restraint in trade restrictions despite ongoing economic uncertainties,News item,https://www.wto.org/english/news_e/news17_e/trdev_04dec17_e.htm
"G20 countries show restraint in new trade restrictions, despite economic uncertainties",News item,https://www.wto.org/english/news_e/news17_e/trdev_08nov17_e.htm
Informal meeting of the Trade Policy Review Body: Trade Monitoring Report,Remarks by DG Azevêdo,https://www.wto.org/english/news_e/spra_e/spra189_e.htm
WTO members record lowest monthly average in new trade restrictions since 2008,News item,https://www.wto.org/english/news_e/news17_e/trdev_24jul17_e.htm
WTO records moderate rise in G20 trade restrictions,News item,https://www.wto.org/english/news_e/news17_e/trdev_29jun17_e.htm
Trade Policy Review Body: Annual overview of developments in the international trading environment,Remarks by DG Azevêdo,https://www.wto.org/english/news_e/spra_e/spra152_e.htm
“Persistent” economic challenges continued to weigh on trade in 2016,News item,https://www.wto.org/english/news_e/news16_e/trdev_09dec16_e.htm
"Trade restrictions among G20 remain high, despite slight slowdown in new measures",News item,https://www.wto.org/english/news_e/news16_e/trdev_09nov16_e.htm
Trade Policy Review Body meeting – trade monitoring,Speech by Director-General Roberto Azevêdo,https://www.wto.org/english/news_e/spra_e/spra133_e.htm
Report urges WTO members to resist protectionism and “get trade moving again”,News item,https://www.wto.org/english/news_e/news16_e/trdev_22jul16_e.htm
WTO report: “G20 trade restrictions reach highest monthly level since the crisis”,News item,https://www.wto.org/english/news_e/news16_e/trdev_21jun16_e.htm
WTO report finds no acceleration in trade restrictions but slow pace for barrier removal,News item,https://www.wto.org/english/news_e/news15_e/trdev_09dec15_e.htm
"WTO reports levelling of new G20 trade restrictions, but stockpile grows",News item,https://www.wto.org/english/news_e/news15_e/trdev_02nov15_e.htm
Informal Trade Policy Review Body meeting on trade monitoring,Speech,https://www.wto.org/english/news_e/spra_e/spra74_e.htm
Increasing stockpile of trade-restrictive measures “a cause for concern”,News item,https://www.wto.org/english/news_e/news15_e/trdev_23jul15_e.htm
WTO sees “slight deceleration” in G20 trade restrictions but calls for continued vigilance,News item,https://www.wto.org/english/news_e/news15_e/trdev_15jun15_e.htm
Azevêdo says rise in trade restrictions “cause for concern”,Speech,https://www.wto.org/english/news_e/spra_e/spra44_e.htm
Azevêdo says rise in trade restrictions “cause for concern”,Statement by Roberto Azevêdo,https://www.wto.org/audio/2014_12_08tprbdg.mp3
WTO report says restrictive trade measures continue to rise in G-20 economies,News item,https://www.wto.org/english/news_e/news14_e/trdev_05nov14_e.htm
"DDG Agah notes no acceleration of new restrictions, urges more trade transparency",News item,https://www.wto.org/english/news_e/news14_e/ddgra_10jul14_e.htm
"Azevêdo reports trade restrictions down slightly, urges G-20 leadership on post-Bali agenda",News item,https://www.wto.org/english/news_e/news14_e/igo_17jun14_e.htm
Azevêdo’s health-check on global trade: Growth recovering but restrictions on the rise,Speech,https://www.wto.org/english/news_e/spra_e/spra8_e.htm
"G-20 trade restrictions increase as trade flows slow down, says WTO report",News item,https://www.wto.org/english/news_e/news13_e/trdev_18dec13_e.htm
Lamy hails transparency as the best insurance policy against protectionism,News item,https://www.wto.org/english/news_e/news13_e/trdev_19jul13_e.htm
WTO warns G-20 trade restrictions continue to accumulate as pace of removal remains slow,News item,https://www.wto.org/english/news_e/news13_e/igo_17jun13_e.htm
WTO launches new trade monitoring database,News item,https://www.wto.org/english/news_e/news13_e/tpr_03may13_e.htm
Lamy: “The world economy needs more trade to stave off recession”,News item,https://www.wto.org/english/news_e/news12_e/trdev_28nov12_e.htm
Lamy reports slowdown in G-20 trade restrictions but warns trade frictions on the rise,News item,https://www.wto.org/english/news_e/news12_e/igo_31oct12_e.htm
Lamy reports no slowdown in new trade restrictions,News item,https://www.wto.org/english/news_e/news12_e/devel_29jun12_e.htm
"Joint study: restrictive measures continue apace, accrued restraints hit 3% of imports",News item,https://www.wto.org/english/news_e/news12_e/igo_31may12_e.htm
Lamy calls for trade opening to continue as global economic outlook worsens,News item,https://www.wto.org/english/news_e/news11_e/trdev_21nov11_e.htm
WTO G-20 report: Weak growth and imbalances “testing” government resolve against protectionism,News item,https://www.wto.org/english/news_e/news11_e/igo_26oct11_e.htm
Trade restrictions on the rise — Lamy,Talking points by the Director-General at informal TPRB,https://www.wto.org/english/news_e/sppl_e/sppl196_e.htm
"Protectionist pressures on the rise, latest G20 monitoring report says",News item,https://www.wto.org/english/news_e/news11_e/igo_24may11_e.htm
Lamy calls on global co-operation for the smooth flow of trade,Speech,https://www.wto.org/english/news_e/sppl_e/sppl182_e.htm
Lamy calls on global co-operation for the smooth flow of trade,Audio: Director-General’s introductory remarks,https://www.wto.org/audio/2010_12_09_tprb_lamy_opening.mp3
Lamy cites need for “increased vigilance” to three potential dangers facing world trade,News item,https://www.wto.org/english/news_e/news10_e/trdev_24nov10_e.htm
G20 governments continue to resist protectionist pressures but risks remain,News item,https://www.wto.org/english/news_e/news10_e/igo_04nov10_e.htm
"WTO-OECD-UNCTAD: Despite crisis, G20 governments largely resist protectionist pressures",WTO’s trade monitoring of all WTO members and observers,https://www.wto.org/english/news_e/news10_e/report_tprb_june10_e.pdf
"WTO-OECD-UNCTAD: Despite crisis, G20 governments largely resist protectionist pressures",Annex tables,https://www.wto.org/english/news_e/news10_e/report_tprb_annex_june10_e.xls
"WTO-OECD-UNCTAD: Despite crisis, G20 governments largely resist protectionist pressures",Joint summary by the Heads of WTO/OECD/UNCTAD on G20 trade and investment measures,https://www.wto.org/english/news_e/news10_e/summary_oecd_unctad_june10_e.pdf
"WTO-OECD-UNCTAD: Despite crisis, G20 governments largely resist protectionist pressures",WTO report on trade measures by G20 economies,https://www.wto.org/english/news_e/news10_e/report_wto_g20_june10_e.pdf
"WTO-OECD-UNCTAD: Despite crisis, G20 governments largely resist protectionist pressures",OECD/UNCTAD report on investment measures by G20 economies,https://www.wto.org/english/news_e/news10_e/report_oecd_unctad_june10_e.pdf
"WTO-OECD-UNCTAD: Despite crisis, G20 governments largely resist protectionist pressures",WTO summary of trade measures by G20 economies (pdf),https://www.wto.org/english/news_e/news10_e/summary_g20_june10_e.pdf
"WTO-OECD-UNCTAD: Despite crisis, G20 governments largely resist protectionist pressures",WTO summary of trade measures by G20 economies (Excel),https://www.wto.org/english/news_e/news10_e/summary_g20_june10_e.xls
WTO-OECD-UNCTAD: No “significant intensification of trade or investment restriction” but G20 must “remain vigilant”,Report,https://www.wto.org/english/news_e/news10_e/trim_report_08mar10_e.doc
WTO-OECD-UNCTAD: No “significant intensification of trade or investment restriction” but G20 must “remain vigilant”,Annex 1 (Excel),https://www.wto.org/english/news_e/news10_e/trim_annex1_08mar10_e.xls
WTO-OECD-UNCTAD: No “significant intensification of trade or investment restriction” but G20 must “remain vigilant”,Annex 2 (Excel),https://www.wto.org/english/news_e/news10_e/trim_annex2_08mar10_e.xls
WTO-OECD-UNCTAD: No “significant intensification of trade or investment restriction” but G20 must “remain vigilant”,Annex 3 (Excel),https://www.wto.org/english/news_e/news10_e/trim_annex3_08mar10_e.xls
Lamy calls for exit strategies on temporary trade restrictions and subsidies,News item,https://www.wto.org/english/news_e/news09_e/lamy_20nov09_e.htm
"G20 governments refrain from extensive use of restrictive measures, but some slippage evident",News item,https://www.wto.org/english/news_e/news09_e/trdev_14sep09_e.htm
"G20 governments refrain from extensive use of restrictive measures, but some slippage evident",Joint Report,https://www.wto.org/english/news_e/news09_e/trdev_dg_report_14sep09_e.doc
Global crisis requires global solutions — Lamy,News item,https://www.wto.org/english/news_e/news09_e/tpr_13jul09_e.htm
Global crisis requires global solutions — Lamy,Director-General’s introductory remarks,https://www.wto.org/audio/2009_07_13_tprb_lamy_opening.mp3
Lamy: The Doha Development Agenda is the best stimulus package,Director-General’s introductory remarks,https://www.wto.org/english/news_e/news09_e/trdev_14apr09_e.htm
Lamy: The Doha Development Agenda is the best stimulus package,Director-General’s introductory remarks,https://www.wto.org/audio/2009_04_14_tprb_lamy_opening.mp3
Lamy: The Doha Development Agenda is the best stimulus package,Director-General’s Report,https://www.wto.org/english/news_e/news09_e/trdev_dg_report_14apr09_e.doc
Lamy: “We must remain extremely vigilant”,Director-General’s introductory remarks,https://www.wto.org/english/news_e/news09_e/tpr_09feb09_e.htm
Lamy: “We must remain extremely vigilant”,Audio: Director-General’s introductory remarks,https://www.wto.org/audio/2009_02_09_tprb_lamy.mp3
