title,type,url
"Report shows many G20 export restrictions remain in place, including on food and fertilizers",News item,https://www.wto.org/english/news_e/news23_e/trdev_04jul23_e.htm
WTO report shows G20 trade restrictions increasing amidst economic challenges,News item,https://www.wto.org/english/news_e/news22_e/trdev_14nov22_e.htm
G20 economies show restraint in use of trade restrictions amidst ongoing instability,News item,https://www.wto.org/english/news_e/news22_e/trdev_07jul22_e.htm
New WTO report on G20 shows restraint in new pandemic-related trade restrictions,News item,https://www.wto.org/english/news_e/news21_e/trdev_28oct21_e.htm
WTO report: Trade policy restraint prevented destructive acceleration of protectionism,News item,https://www.wto.org/english/news_e/news21_e/trdev_28jun21_e.htm
WTO report shows slowdown in G20 trade restrictions as COVID-19 impacts world economy,News item,https://www.wto.org/english/news_e/news20_e/trdev_18nov20_e.htm
WTO report on G20 shows moves to facilitate imports even as trade restrictions remain widespread,News item,https://www.wto.org/english/news_e/news20_e/trdev_29jun20_e.htm
Trade restrictions among G20 economies remain at historic highs,News item,https://www.wto.org/english/news_e/news19_e/trdev_21nov19_e.htm
WTO report shows trade restrictions among G20 continuing at historic high levels,News item,https://www.wto.org/english/news_e/news19_e/trdev_24jun19_e.htm
WTO report shows sharp rise in trade-restrictive measures from G20 economies,News item,https://www.wto.org/english/news_e/news18_e/trdev_22nov18_e.htm
Rate of new trade restrictions from G20 economies doubles against previous period,News item,https://www.wto.org/english/news_e/news18_e/monit_04jul18_e.htm
"G20 countries show restraint in new trade restrictions, despite economic uncertainties",News item,https://www.wto.org/english/news_e/news17_e/trdev_08nov17_e.htm
WTO records moderate rise in G20 trade restrictions,News item,https://www.wto.org/english/news_e/news17_e/trdev_29jun17_e.htm
"Trade restrictions among G20 remain high, despite slight slowdown in new measures",News item,https://www.wto.org/english/news_e/news16_e/trdev_09nov16_e.htm
WTO report: “G20 trade restrictions reach highest monthly level since the crisis”,News item,https://www.wto.org/english/news_e/news16_e/trdev_21jun16_e.htm
"WTO reports levelling of new G20 trade restrictions, but stockpile grows",News item,https://www.wto.org/english/news_e/news15_e/trdev_02nov15_e.htm
WTO sees “slight deceleration” in G20 trade restrictions but calls for continued vigilance,News item,https://www.wto.org/english/news_e/news15_e/trdev_15jun15_e.htm
WTO report says restrictive trade measures continue to rise in G-20 economies,News item,https://www.wto.org/english/news_e/news14_e/trdev_05nov14_e.htm
"Azevêdo reports trade restrictions down slightly, urges G-20 leadership on post-Bali agenda",News item,https://www.wto.org/english/news_e/news14_e/igo_17jun14_e.htm
"G-20 trade restrictions increase as trade flows slow down, says WTO report",News item,https://www.wto.org/english/news_e/news13_e/trdev_18dec13_e.htm
WTO warns G-20 trade restrictions continue to accumulate as pace of removal remains slow,News item,https://www.wto.org/english/news_e/news13_e/igo_17jun13_e.htm
Lamy reports slowdown in G-20 trade restrictions but warns trade frictions on the rise,News item,https://www.wto.org/english/news_e/news12_e/igo_31oct12_e.htm
"Joint study: restrictive measures continue apace, accrued restraints hit 3% of imports",News item,https://www.wto.org/english/news_e/news12_e/igo_31may12_e.htm
WTO G-20 report: Weak growth and imbalances “testing” government resolve against protectionism,News item,https://www.wto.org/english/news_e/news11_e/igo_26oct11_e.htm
"Protectionist pressures on the rise, latest G20 monitoring report says",News item,https://www.wto.org/english/news_e/news11_e/igo_24may11_e.htm
G20 governments continue to resist protectionist pressures but risks remain,News item,https://www.wto.org/english/news_e/news10_e/igo_04nov10_e.htm
"WTO-OECD-UNCTAD: Despite crisis, G20 governments largely resist protectionist pressures",WTO’s trade monitoring of all WTO members and observers,https://www.wto.org/english/news_e/news10_e/report_tprb_june10_e.pdf
"WTO-OECD-UNCTAD: Despite crisis, G20 governments largely resist protectionist pressures",Annex tables,https://www.wto.org/english/news_e/news10_e/report_tprb_annex_june10_e.xls
"WTO-OECD-UNCTAD: Despite crisis, G20 governments largely resist protectionist pressures",Joint summary by the Heads of WTO/OECD/UNCTAD on G20 trade and investment measures,https://www.wto.org/english/news_e/news10_e/summary_oecd_unctad_june10_e.pdf
"WTO-OECD-UNCTAD: Despite crisis, G20 governments largely resist protectionist pressures",WTO report on trade measures by G20 economies,https://www.wto.org/english/news_e/news10_e/report_wto_g20_june10_e.pdf
"WTO-OECD-UNCTAD: Despite crisis, G20 governments largely resist protectionist pressures",OECD/UNCTAD report on investment measures by G20 economies,https://www.wto.org/english/news_e/news10_e/report_oecd_unctad_june10_e.pdf
"WTO-OECD-UNCTAD: Despite crisis, G20 governments largely resist protectionist pressures",WTO summary of trade measures by G20 economies (pdf),https://www.wto.org/english/news_e/news10_e/summary_g20_june10_e.pdf
"WTO-OECD-UNCTAD: Despite crisis, G20 governments largely resist protectionist pressures",WTO summary of trade measures by G20 economies (Excel),https://www.wto.org/english/news_e/news10_e/summary_g20_june10_e.xls
WTO-OECD-UNCTAD: No “significant intensification of trade or investment restriction” but G20 must “remain vigilant”,Report,https://www.wto.org/english/news_e/news10_e/trim_report_08mar10_e.doc
WTO-OECD-UNCTAD: No “significant intensification of trade or investment restriction” but G20 must “remain vigilant”,Annex 1 (Excel),https://www.wto.org/english/news_e/news10_e/trim_annex1_08mar10_e.xls
WTO-OECD-UNCTAD: No “significant intensification of trade or investment restriction” but G20 must “remain vigilant”,Annex 2 (Excel),https://www.wto.org/english/news_e/news10_e/trim_annex2_08mar10_e.xls
WTO-OECD-UNCTAD: No “significant intensification of trade or investment restriction” but G20 must “remain vigilant”,Annex 3 (Excel),https://www.wto.org/english/news_e/news10_e/trim_annex3_08mar10_e.xls
"G20 governments refrain from extensive use of restrictive measures, but some slippage evident",News item,https://www.wto.org/english/news_e/news09_e/trdev_14sep09_e.htm
"G20 governments refrain from extensive use of restrictive measures, but some slippage evident",Joint Report,https://www.wto.org/english/news_e/news09_e/trdev_dg_report_14sep09_e.doc
