title,type,url
Report of the TPRB from the Director-General on trade-related developments,Speech,https://www.wto.org/english/news_e/spno_e/spno38_e.htm
"WTO members facilitate imports, reduce trade restrictions, but food export curbs persist",News item,https://www.wto.org/english/news_e/news23_e/tmwto_27jul23_e.htm
Overview of developments in the international trading environment,Speech,https://www.wto.org/english/news_e/spno_e/spno35_e.htm
"Report shows increase in trade restrictions amidst economic uncertainty, multiple crises",News item,https://www.wto.org/english/news_e/news22_e/tmwto_06dec22_e.htm
WTO members show restraint in trade-restrictive measures despite economic uncertainty,News item,https://www.wto.org/english/news_e/news22_e/trdev_27jul22_e.htm
Monitoring report shows continued but slow rollback of COVID-19 related trade restrictions,News item,https://www.wto.org/english/news_e/news21_e/trdev_09dec21_e.htm
WTO report: Full trade recovery at risk without equitable vaccine roll-out,News item,https://www.wto.org/english/news_e/news21_e/trdev_29jul21_e.htm
Report shows marked decline in trade restrictions by WTO members amidst COVID-19 pandemic,News item,https://www.wto.org/english/news_e/news20_e/trdev_11dec20_e.htm
WTO report shows members moving to facilitate imports even as trade restrictions remain high,News item,https://www.wto.org/english/news_e/news20_e/trdev_24jul20_e.htm
Report shows trade restrictions by WTO members at historically high levels,News item,https://www.wto.org/english/news_e/news19_e/dgra_12dec19_e.htm
Trade-restrictive measures continue at historically high level,News item,https://www.wto.org/english/news_e/news19_e/trdev_22jul19_e.htm
Report shows sharp rise in the coverage of trade-restrictive measures from WTO members,News item,https://www.wto.org/english/news_e/news18_e/trdev_11dec18_e.htm
Monitoring report shows increase of new trade restrictions from WTO members,News item,https://www.wto.org/english/news_e/news18_e/trdev_25jul18_e.htm
WTO members show restraint in trade restrictions despite ongoing economic uncertainties,News item,https://www.wto.org/english/news_e/news17_e/trdev_04dec17_e.htm
WTO members record lowest monthly average in new trade restrictions since 2008,News item,https://www.wto.org/english/news_e/news17_e/trdev_24jul17_e.htm
“Persistent” economic challenges continued to weigh on trade in 2016,News item,https://www.wto.org/english/news_e/news16_e/trdev_09dec16_e.htm
Report urges WTO members to resist protectionism and “get trade moving again”,News item,https://www.wto.org/english/news_e/news16_e/trdev_22jul16_e.htm
Increasing stockpile of trade-restrictive measures “a cause for concern”,News item,https://www.wto.org/english/news_e/news15_e/trdev_23jul15_e.htm
Azevêdo says rise in trade restrictions “cause for concern”,Speech,https://www.wto.org/english/news_e/spra_e/spra44_e.htm
Azevêdo says rise in trade restrictions “cause for concern”,Statement by Roberto Azevêdo,https://www.wto.org/audio/2014_12_08tprbdg.mp3
"DDG Agah notes no acceleration of new restrictions, urges more trade transparency",News item,https://www.wto.org/english/news_e/news14_e/ddgra_10jul14_e.htm
Azevêdo’s health-check on global trade: Growth recovering but restrictions on the rise,Speech,https://www.wto.org/english/news_e/spra_e/spra8_e.htm
Lamy hails transparency as the best insurance policy against protectionism,News item,https://www.wto.org/english/news_e/news13_e/trdev_19jul13_e.htm
Lamy: “The world economy needs more trade to stave off recession”,News item,https://www.wto.org/english/news_e/news12_e/trdev_28nov12_e.htm
Lamy reports no slowdown in new trade restrictions,News item,https://www.wto.org/english/news_e/news12_e/devel_29jun12_e.htm
Lamy calls for trade opening to continue as global economic outlook worsens,News item,https://www.wto.org/english/news_e/news11_e/trdev_21nov11_e.htm
Trade restrictions on the rise — Lamy,Talking points by the Director-General at informal TPRB,https://www.wto.org/english/news_e/sppl_e/sppl196_e.htm
Lamy calls on global co-operation for the smooth flow of trade,Speech,https://www.wto.org/english/news_e/sppl_e/sppl182_e.htm
Lamy calls on global co-operation for the smooth flow of trade,Audio: Director-General’s introductory remarks,https://www.wto.org/audio/2010_12_09_tprb_lamy_opening.mp3
Lamy cites need for “increased vigilance” to three potential dangers facing world trade,News item,https://www.wto.org/english/news_e/news10_e/trdev_24nov10_e.htm
Lamy calls for exit strategies on temporary trade restrictions and subsidies,News item,https://www.wto.org/english/news_e/news09_e/lamy_20nov09_e.htm
Global crisis requires global solutions — Lamy,News item,https://www.wto.org/english/news_e/news09_e/tpr_13jul09_e.htm
Global crisis requires global solutions — Lamy,Director-General’s introductory remarks,https://www.wto.org/audio/2009_07_13_tprb_lamy_opening.mp3
Lamy: The Doha Development Agenda is the best stimulus package,Director-General’s introductory remarks,https://www.wto.org/english/news_e/news09_e/trdev_14apr09_e.htm
Lamy: The Doha Development Agenda is the best stimulus package,Director-General’s introductory remarks,https://www.wto.org/audio/2009_04_14_tprb_lamy_opening.mp3
Lamy: The Doha Development Agenda is the best stimulus package,Director-General’s Report,https://www.wto.org/english/news_e/news09_e/trdev_dg_report_14apr09_e.doc
Lamy: “We must remain extremely vigilant”,Director-General’s introductory remarks,https://www.wto.org/english/news_e/news09_e/tpr_09feb09_e.htm
Lamy: “We must remain extremely vigilant”,Audio: Director-General’s introductory remarks,https://www.wto.org/audio/2009_02_09_tprb_lamy.mp3
