title,type,url
WTO Chairs Programme issues call for applications,News item,https://www.wto.org/english/news_e/news23_e/chair_04oct23_e.htm
DDG Zhang calls on least developed countries to “strategize on their trade priorities”,News item,https://www.wto.org/english/news_e/news23_e/ldevc_22jun23_e.htm
"One year on from MC12, WTO Chairs Programme holds Annual Conference",News item,https://www.wto.org/english/news_e/news23_e/chair_21jun23_e.htm
WTO Chairs Programme activities launched at University of Rwanda,News item,https://www.wto.org/english/news_e/news23_e/chair_08jun23_e.htm
New report looks at WTO technical assistance activities in post-pandemic era,News item,https://www.wto.org/english/news_e/news23_e/tech_26may23_e.htm
DG Okonjo-Iweala praises Viet Nam for using trade to drive growth and reduce poverty,News item,https://www.wto.org/english/news_e/news23_e/dgno_18may23_e.htm
Trade capacity-building activities launched in Tanzania under Chairs Programme,News item,https://www.wto.org/english/news_e/news23_e/chair_31mar23_e.htm
"Austria gives EUR 200,000 to Chairs network to boost developing countries’ trade expertise",Press release,https://www.wto.org/english/news_e/pres23_e/pr917_e.htm
WTO Chair in Cameroon hosts high-level event on trade and sustainability,News item,https://www.wto.org/english/news_e/news22_e/chair_15dec22_e.htm
"International Forum for Inclusive and Sustainable Development in the Southeast Asia, Latin America and the Caribbean (SEA-LAC) Region",News item,https://www.wto.org/english/news_e/news22_e/ddgxz_12dec22_e.htm
"WTO Chair in Indonesia hosts interregional forum for inclusive, sustainable development",News item,https://www.wto.org/english/news_e/news22_e/chair_12dec22_e.htm
DG Okonjo-Iweala receives honorary doctorate from Nyenrode Business University,News item,https://www.wto.org/english/news_e/news22_e/dgno_28nov22_e.htm
DDG Zhang calls for strengthened cooperation in Latin America through WTO Chairs Programme,News item,https://www.wto.org/english/news_e/news22_e/chair_16nov22_e.htm
7th International Conference on Contemporary Issues in International Trade: A development Lens,News item,https://www.wto.org/english/news_e/news22_e/ddgxz_08nov22_e.htm
DDG Zhang stresses importance of WTO Chairs Programme in fostering “South to South” learning,News item,https://www.wto.org/english/news_e/news22_e/chair_06nov22_e.htm
"DDG Zhang underscores importance of implementing MC12 outcomes, other trade agreements",News item,https://www.wto.org/english/news_e/news22_e/chair_04nov22_e.htm
DDG Zhang welcomes Kathmandu University School of Management to Chairs Programme,News item,https://www.wto.org/english/news_e/news22_e/chair_18oct22_e.htm
DDG Zhang inaugurates the new WTO Chair at the Indian Institute of Foreign Trade,News item,https://www.wto.org/english/news_e/news22_e/chair_14oct22_e.htm
"WTO Chairs Programme launches activities at Universidad de los Andes, Colombia",News item,https://www.wto.org/english/news_e/news22_e/chair_26sep22_e.htm
