title,type,url
New WTO publication provides insights into the world of export regulations and controls,News item,https://www.wto.org/english/news_e/news23_e/pf23_15sep23_e.htm
Public Forum looks at how investment facilitation agreement can support sustainable future,News item,https://www.wto.org/english/news_e/news23_e/infac_15sep23_e.htm
New WTO publication underlines need to boost women’s participation in trade,News item,https://www.wto.org/english/news_e/news23_e/women_14sep23_e.htm
"High-level panel discusses inclusive strategies for climate action, sustainable trade",News item,https://www.wto.org/english/news_e/news23_e/pf23_14sep23_e.htm
Steel industry highlights importance of trade policy in decarbonisation efforts ahead of COP28,News item,https://www.wto.org/english/news_e/news23_e/clim_14sep23_e.htm
Public Forum panel examines trade’s role in promoting climate action,News item,https://www.wto.org/english/news_e/news23_e/pf23_13sep23_e.htm
"WHO, WIPO, WTO renew commitment to support integrated solutions to global health challenges",News item,https://www.wto.org/english/news_e/news23_e/igo_13sep23_e.htm
Public Forum programme is now available,News item,https://www.wto.org/english/news_e/news23_e/pf23_31aug23_e.htm
WTO Public Forum 2023: It is time for action,News item,https://www.wto.org/english/news_e/news23_e/pf23_23aug23_e.htm
Public Forum registration closes on 17 August,News item,https://www.wto.org/english/news_e/news23_e/pf23_24jul23_e.htm
Deadline for submitting proposals for 2023 Public Forum extended to 23 June,News item,https://www.wto.org/english/news_e/news23_e/pf23_14jun23_e.htm
Deadline of 15 June for submitting proposals for 2023 Public Forum,News item,https://www.wto.org/english/news_e/news23_e/pf23_01jun23_e.htm
"WTO opens online registration for 2023 Public Forum, launches call for proposals",News item,https://www.wto.org/english/news_e/news23_e/pf23_03may23_e.htm
"Public Forum 2023 to examine how trade can contribute to a greener, more sustainable future",News item,https://www.wto.org/english/news_e/news23_e/pf23_30mar23_e.htm
Five takeaways from the WTO Public Forum,Blog,https://www.wto.org/english/blogs_e/ddg_anabel_gonzalez_e/blog_ag_06oct22_e.htm
Public Forum session highlights importance of youth engagement in trade and peacebuilding,News item,https://www.wto.org/english/news_e/news22_e/pf22_30sep22_e.htm
"With right tools and policies, women can break the glass ceiling in trade — DG Okonjo-Iweala",News item,https://www.wto.org/english/news_e/news22_e/dgno_29sep22_e.htm
Public Forum explores role of trade in accelerating transition to a green economy,News item,https://www.wto.org/english/news_e/news22_e/pf22_29sep22_e.htm
"Put landmark Fisheries Subsidies Agreement into motion, governments urged at Public Forum",News item,https://www.wto.org/english/news_e/news22_e/fish_29sep22_e.htm
High-level panel explores the need to leverage technology to promote inclusive growth,News item,https://www.wto.org/english/news_e/news22_e/pf22_28sep22_e.htm
Public Forum 2022 opens with DG Okonjo-Iweala warning against “business as usual”,News item,https://www.wto.org/english/news_e/news22_e/pf22_27sep22_e.htm
"WTO, FIFA team up to use trade and football as drivers of economic and social development",News item,https://www.wto.org/english/news_e/news22_e/igo_27sep22_e.htm
Public Forum programme is now available,News item,https://www.wto.org/english/news_e/news22_e/pf22_16sep22_e.htm
Public Forum registration closes on 7 September,News item,https://www.wto.org/english/news_e/news22_e/pf22_29aug22_e.htm
Deadline for submitting proposals for 2022 Public Forum extended to 10 June,News item,https://www.wto.org/english/news_e/news22_e/pf22_01jun22_e.htm
Deadline of 1 June for submitting proposals for 2022 Public Forum,News item,https://www.wto.org/english/news_e/news22_e/pf22_25may22_e.htm
WTO opens online registration for 2022 Public Forum,News item,https://www.wto.org/english/news_e/news22_e/pf22_02may22_e.htm
WTO launches call for proposals for 2022 Public Forum,News item,https://www.wto.org/english/news_e/news22_e/pf22_30mar22_e.htm
2022 Public Forum to focus on theme of sustainable and inclusive recovery,News item,https://www.wto.org/english/news_e/news22_e/pfor_15mar22_e.htm
Public Forum reflects on need to strengthen collective action towards sustainable trade,News item,https://www.wto.org/english/news_e/news21_e/pf21_01oct21a_e.htm
"Business groups highlight need for WTO reform, MC12 outcomes",News item,https://www.wto.org/english/news_e/news21_e/bus_30sep21_e.htm
"Climate, pandemic, e-commerce, inclusivity — Public Forum addresses priorities for reform",News item,https://www.wto.org/english/news_e/news21_e/pf21_29sep21_e.htm
DG Okonjo-Iweala welcomes participants to 2021 Public Forum,News item,https://www.wto.org/english/news_e/news21_e/pf21_28sep21_e.htm
Public Forum programme is now available,News item,https://www.wto.org/english/news_e/news21_e/pf21_15sep21_e.htm
Public Forum registration for in-person participation closes on 6 September,News item,https://www.wto.org/english/news_e/news21_e/pf21_26aug21_e.htm
WTO launches call for MSME stories on “Building resilience through trade during COVID-19”,News item,https://www.wto.org/english/news_e/news21_e/pf21_18jun21_e.htm
Deadline for submitting proposals for 2021 Public Forum extended to 14 June,News item,https://www.wto.org/english/news_e/news21_e/pfor_03jun21_e.htm
WTO opens online registration for 2021 Public Forum,News item,https://www.wto.org/english/news_e/news21_e/pfor_05may21_e.htm
