title,type,url
New WTO publication provides insights into the world of export regulations and controls,News item,https://www.wto.org/english/news_e/news23_e/pf23_15sep23_e.htm
Public Forum looks at how investment facilitation agreement can support sustainable future,News item,https://www.wto.org/english/news_e/news23_e/infac_15sep23_e.htm
New WTO publication underlines need to boost women’s participation in trade,News item,https://www.wto.org/english/news_e/news23_e/women_14sep23_e.htm
"High-level panel discusses inclusive strategies for climate action, sustainable trade",News item,https://www.wto.org/english/news_e/news23_e/pf23_14sep23_e.htm
Steel industry highlights importance of trade policy in decarbonisation efforts ahead of COP28,News item,https://www.wto.org/english/news_e/news23_e/clim_14sep23_e.htm
Public Forum panel examines trade’s role in promoting climate action,News item,https://www.wto.org/english/news_e/news23_e/pf23_13sep23_e.htm
"WHO, WIPO, WTO renew commitment to support integrated solutions to global health challenges",News item,https://www.wto.org/english/news_e/news23_e/igo_13sep23_e.htm
"Former UK PM Gordon Brown calls for new era of international cooperation, multilateralism",News item,https://www.wto.org/english/news_e/news23_e/pls_12sep23_e.htm
World Trade Report 2023 makes case for “re-globalization” amid early signs of fragmentation,News item,https://www.wto.org/english/news_e/news23_e/wtr_12sep23_e.htm
Public Forum programme is now available,News item,https://www.wto.org/english/news_e/news23_e/pf23_31aug23_e.htm
WTO Public Forum 2023: It is time for action,News item,https://www.wto.org/english/news_e/news23_e/pf23_23aug23_e.htm
Public Forum registration closes on 17 August,News item,https://www.wto.org/english/news_e/news23_e/pf23_24jul23_e.htm
Deadline for submitting proposals for 2023 Public Forum extended to 23 June,News item,https://www.wto.org/english/news_e/news23_e/pf23_14jun23_e.htm
Deadline of 15 June for submitting proposals for 2023 Public Forum,News item,https://www.wto.org/english/news_e/news23_e/pf23_01jun23_e.htm
"WTO opens online registration for 2023 Public Forum, launches call for proposals",News item,https://www.wto.org/english/news_e/news23_e/pf23_03may23_e.htm
"Public Forum 2023 to examine how trade can contribute to a greener, more sustainable future",News item,https://www.wto.org/english/news_e/news23_e/pf23_30mar23_e.htm
