title,type,url
"DDG Ellard calls for APEC leadership in reforming the WTO, delivering at MC13",News item,https://www.wto.org/english/news_e/news23_e/ddgae_15nov23_e.htm
"WHO, WIPO, WTO Symposium highlights interrelatedness of climate change and human health",News item,https://www.wto.org/english/news_e/news23_e/trip_14nov23_e.htm
WHO-WIPO-WTO Technical symposium on “Facing the future: human health and climate change”,Speech,https://www.wto.org/english/news_e/spno_e/spno41_e.htm
WTO-WIPO colloquium for intellectual property teachers opens in Geneva,News item,https://www.wto.org/english/news_e/news23_e/trip_13nov23_e.htm
WTO Secretariat to highlight role of trade policy for climate action at COP28 in Dubai,News item,https://www.wto.org/english/news_e/news23_e/cop28_09nov23_e.htm
"Timely food market information is key amid crises, agriculture group says",News item,https://www.wto.org/english/news_e/news23_e/agri_07nov23_e.htm
2023 edition of WTO Trade and Public Health Workshop begins in Geneva,News item,https://www.wto.org/english/news_e/news23_e/trip_06nov23_e.htm
WTO and partner organizations unveil Trade House pavilion for UN COP28 climate summit,News item,https://www.wto.org/english/news_e/news23_e/envir_26oct23_e.htm
"WHO, WIPO, WTO to hold technical symposium on human health and climate change",News item,https://www.wto.org/english/news_e/news23_e/trip_16oct23_e.htm
Advanced course on Sanitary and Phytosanitary Agreement begins in Geneva,News item,https://www.wto.org/english/news_e/news23_e/sps_10oct23_e.htm
New WTO publication provides insights into the world of export regulations and controls,News item,https://www.wto.org/english/news_e/news23_e/pf23_15sep23_e.htm
Steel industry highlights importance of trade policy in decarbonisation efforts ahead of COP28,News item,https://www.wto.org/english/news_e/news23_e/clim_14sep23_e.htm
"WHO, WIPO, WTO renew commitment to support integrated solutions to global health challenges",News item,https://www.wto.org/english/news_e/news23_e/igo_13sep23_e.htm
"New WTO report underscores role of trade in meeting SDGs, bolstering economic recovery",News item,https://www.wto.org/english/news_e/news23_e/sdgs_06sep23_e.htm
DG Okonjo-Iweala to G20: time to roll up our sleeves and deliver at MC13,News item,https://www.wto.org/english/news_e/news23_e/dgno_24aug23_e.htm
The WTO and the Organisation Internationale de la Francophonie launch a call for submissions on digital trade,News item,https://www.wto.org/english/news_e/news23_e/igo_28jul23_e.htm
DG Okonjo-Iweala underlines role of trade in transforming food systems at UN summit,News item,https://www.wto.org/english/news_e/news23_e/dgno_26jul23_e.htm
DG Okonjo-Iweala: Africa has many of the ingredients for digital success,News item,https://www.wto.org/english/news_e/news23_e/dgno_21jul23_e.htm
"Report shows many G20 export restrictions remain in place, including on food and fertilizers",News item,https://www.wto.org/english/news_e/news23_e/trdev_04jul23_e.htm
Technology transfer partners share insights at WHO-WIPO-WTO webinar,News item,https://www.wto.org/english/news_e/news23_e/trip_27jun23_e.htm
DG Okonjo-Iweala to business leaders: We must push for re-globalization and reform,News item,https://www.wto.org/english/news_e/news23_e/igo_21jun23_e.htm
Applications invited for 2023 Trade and Public Health Workshop,News item,https://www.wto.org/english/news_e/news23_e/heal_20jun23_e.htm
High-level panel urges action on triple planetary crisis at Trade and Environment Week,News item,https://www.wto.org/english/news_e/news23_e/envir_13jun23_e.htm
Applications invited for WIPO-WTO colloquium for teachers of intellectual property,News item,https://www.wto.org/english/news_e/news23_e/trip_14jun23_e.htm
Strong and effective WTO a vital tool for building economic resilience — DG Okonjo-Iweala,News item,https://www.wto.org/english/news_e/news23_e/dgno_08jun23_e.htm
Registration opens for trilateral webinar on technology transfer from practitioners’ perspective,News item,https://www.wto.org/english/news_e/news23_e/trip_05jun23_e.htm
International organizations launch platform to promote access to subsidy information,News item,https://www.wto.org/english/news_e/news23_e/scm_24may23_e.htm
"Members, partner organizations stress importance of boosting Aid for Trade disbursements",News item,https://www.wto.org/english/news_e/news23_e/aid_12may23_e.htm
DDG Paugam explores closer WTO-IICA cooperation on agriculture and food security,News item,https://www.wto.org/english/news_e/news23_e/ddgjp_05may23_e.htm
"WTO, FIFA event highlights role of football as a tool for trade and women’s empowerment",News item,https://www.wto.org/english/news_e/news23_e/women_01may23_e.htm
New data reveals regional variations in digitally delivered services trade,News item,https://www.wto.org/english/news_e/news23_e/serv_26apr23_e.htm
"WTO, World Bank, WEF launch joint effort to provide tailored trade and climate analysis",News item,https://www.wto.org/english/news_e/news23_e/envir_20apr23_e.htm
New report calls for G20 coordination to address causes of food insecurity,News item,https://www.wto.org/english/news_e/news23_e/agri_13apr23_e.htm
WIPO-WTO advanced course on intellectual property policy issues concludes in Geneva,News item,https://www.wto.org/english/news_e/news23_e/trip_31mar23_e.htm
DDG González to business: “Rise to the moment to help strengthen rules-based trade”,News item,https://www.wto.org/english/news_e/news23_e/ddgag_29mar23_e.htm
DG Okonjo-Iweala: Trade finance is lifeblood for African small businesses,News item,https://www.wto.org/english/news_e/news23_e/trfin_21mar23_e.htm
WTO Director-General receives the 2022 Award of the Group of Francophone Ambassadors,News item,https://www.wto.org/english/news_e/news23_e/dgno_20mar23a_e.htm
DG Okonjo-Iweala: WTO can advance sustainable development goals by delivering results at MC13,News item,https://www.wto.org/english/news_e/news23_e/dgno_20mar23_e.htm
2023 Small Business Champions Competition launched,News item,https://www.wto.org/english/news_e/news23_e/igmsm_16mar23_e.htm
"Environment committee draws members’ broad engagement, considers proposals to enhance work",News item,https://www.wto.org/english/news_e/news23_e/envir_15mar23_e.htm
"Plastics Dialogue participants brainstorm on MC13 outcomes, welcome US co-sponsorship",News item,https://www.wto.org/english/news_e/news23_e/ppesp_14mar23_e.htm
"Canada commits CAD 700,000 to strengthen developing countries’ food safety systems",Press release,https://www.wto.org/english/news_e/pres23_e/pr922_e.htm
DDG Zhang: WTO can help explore how to bring further economic gains to LDCs,News item,https://www.wto.org/english/news_e/news23_e/ldevc_10mar23_e.htm
"Combat inequality amid global upheavals, Okonjo-Iweala and Lagarde urge on Women’s Day",News item,https://www.wto.org/english/news_e/news23_e/women_08mar23_e.htm
It is time to boost LDCs’ integration into trading system — DDG Zhang at LDC5 Conference,News item,https://www.wto.org/english/news_e/news23_e/devel_07mar23_e.htm
DDG Zhang calls on international community to redouble efforts to improve welfare of LDCs,News item,https://www.wto.org/english/news_e/news23_e/ldevc_06mar23_e.htm
Investment facilitation talks advance work towards finalizing negotiating text,News item,https://www.wto.org/english/news_e/news23_e/infac_03mar23_e.htm
WTO to champion importance of trade in supporting LDCs’ economic development,News item,https://www.wto.org/english/news_e/news23_e/devel_03mar23_e.htm
"DDG Ellard calls on the EU to ratify Fisheries Agreement, show leadership in ongoing talks",News item,https://www.wto.org/english/news_e/news23_e/ddgae_01mar23_e.htm
