title,type,url
Goods barometer signals upturn in trade backed by strong auto demand,News item,https://www.wto.org/english/news_e/news23_e/wtoi_24aug23_e.htm
"Goods barometer stabilizes, indicating possible turning point for trade",News item,https://www.wto.org/english/news_e/news23_e/wtoi_31may23_e.htm
"Goods barometer declines further, hinting at fourth quarter trade slump",News item,https://www.wto.org/english/news_e/news23_e/wtoi_01mar23_e.htm
Services trade activity likely to weaken with slowing growth in major economies,News item,https://www.wto.org/english/news_e/news22_e/wtoi_22dec22_e.htm
Goods barometer sinks below trend as global import demand weakens,News item,https://www.wto.org/english/news_e/news22_e/wtoi_28nov22_e.htm
Goods Barometer points to stagnating global trade growth,News item,https://www.wto.org/english/news_e/news22_e/wtoi_22aug22_e.htm
Barometer indicates continued services trade recovery despite Ukraine conflict,News item,https://www.wto.org/english/news_e/news22_e/wtoi_23jun22_e.htm
"Goods barometer remains flat as Ukraine conflict, COVID-19 weigh on trade",News item,https://www.wto.org/english/news_e/news22_e/wtoi_23may22_e.htm
Goods barometer signals possible turning point for trade as supply pressures ease,News item,https://www.wto.org/english/news_e/news22_e/wtoi_21feb22_e.htm
Goods Barometer points to slowing trade growth due to disruptions in critical sectors,News item,https://www.wto.org/english/news_e/news21_e/wtoi_15nov21_e.htm
"Global services trade recovering but below pre-pandemic levels, WTO barometer indicates",News item,https://www.wto.org/english/news_e/news21_e/wtoi_23sep21_e.htm
"Goods Barometer hits record high, confirming strength of trade recovery",News item,https://www.wto.org/english/news_e/news21_e/wtoi_18aug21_e.htm
"Goods barometer reveals strength of trade recovery, depth of COVID-19 shock",News item,https://www.wto.org/english/news_e/news21_e/wtoi_28may21_e.htm
"Barometer points to services trade rebound in short run, long term outlook less clear",News item,https://www.wto.org/english/news_e/news21_e/wtoi_11mar21_e.htm
Goods Barometer signals strong trade rebound but momentum may be short lived,News item,https://www.wto.org/english/news_e/news21_e/wtoi_18feb21_e.htm
Goods Barometer signals trade resilience amid ongoing COVID concerns,News item,https://www.wto.org/english/news_e/news20_e/wtoi_20nov20_e.htm
Services trade barometer signals resilience in key sectors amid overall decline,News item,https://www.wto.org/english/news_e/news20_e/wtoi_17sep20_e.htm
Goods barometer confirms steep drop in trade but hints at nascent recovery,News item,https://www.wto.org/english/news_e/news20_e/wtoi_19aug20_e.htm
WTO goods barometer flashes red as COVID-19 disrupts world trade,News item,https://www.wto.org/english/news_e/news20_e/wtoi_19may20_e.htm
Services trade growth weakens as COVID-19 crisis hits global economy,News item,https://www.wto.org/english/news_e/news20_e/wtoi_11mar20_e.htm
Goods barometer signals further weakening of trade in first quarter of 2020,News item,https://www.wto.org/english/news_e/news20_e/wtoi_17feb20_e.htm
Goods barometer suggests world trade to remain below trend as tensions take toll,News item,https://www.wto.org/english/news_e/news19_e/wtoi_18nov19_e.htm
New WTO indicator finds services trade weakening into second half of 2019,News item,https://www.wto.org/english/news_e/news19_e/wtoi_12sep19_e.htm
Revamped trade indicator suggests further weakening of goods trade into third quarter,News item,https://www.wto.org/english/news_e/news19_e/wtoi_15aug19_e.htm
"Trade weakness to extend into second quarter, WTO indicator suggests",News item,https://www.wto.org/english/news_e/news19_e/wtoi_20may19_e.htm
WTO trade indicator points to slower trade growth into first quarter of 2019,News item,https://www.wto.org/english/news_e/news19_e/wtoi_19feb19_e.htm
World Trade Outlook Indicator signals further loss of momentum in trade growth into Q4,News item,https://www.wto.org/english/news_e/news18_e/wtoi_26nov18_e.htm
WTOI suggests trade momentum softening further in third quarter of 2018,News item,https://www.wto.org/english/news_e/news18_e/wtoi_09aug18_e.htm
"Strong trade growth continues but momentum may soften in Q2, trade indicator suggests",News item,https://www.wto.org/english/news_e/news18_e/wtoi_17may18_e.htm
"Trade growth to sustain momentum in first quarter of 2018, latest trade indicator suggests",News item,https://www.wto.org/english/news_e/news18_e/wtoi_12feb18_e.htm
Latest trade indicator suggests trade growth will moderate in fourth quarter of 2017,News item,https://www.wto.org/english/news_e/news17_e/wtoi_13nov17_e.htm
Trade indicator points to continued modest recovery of world trade in third quarter,News item,https://www.wto.org/english/news_e/news17_e/wtoi_07aug17_e.htm
Latest trade indicator signals sustained momentum in second quarter,News item,https://www.wto.org/english/news_e/news17_e/wtoi_15may17_e.htm
World Trade Outlook Indicator suggests moderate trade momentum in first quarter of 2017,News item,https://www.wto.org/english/news_e/news17_e/wtoi_14feb17_e.htm
World Trade Outlook Indicator suggests modest pick-up in trade during fourth quarter,News item,https://www.wto.org/english/news_e/news16_e/rese_08nov16_e.htm
WTO launches new World Trade Outlook Indicator,News item,https://www.wto.org/english/news_e/news16_e/rese_08jul16_e.htm
