title,type,url
What are the prospects for global trade growth in 2023 and 2024?,Blog,https://www.wto.org/english/blogs_e/ce_ralph_ossa_e/blog_ro_05oct23_e.htm
WTO lowers 2023 trade growth forecast amid global manufacturing slowdown,News item,https://www.wto.org/english/news_e/news23_e/tfore_05oct23_e.htm
What’s the outlook for global trade in 2023?,Blog,https://www.wto.org/english/blogs_e/ce_ralph_ossa_e/blog_ro_05apr23_e.htm
Trade growth to slow to 1.7% in 2023 following 2.7% expansion in 2022,News item,https://www.wto.org/english/news_e/news23_e/tfore_05apr23_e.htm
Trade growth to slow sharply in 2023 as global economy faces strong headwinds,Press release,https://www.wto.org/english/news_e/pres22_e/pr909_e.htm
Russia-Ukraine conflict puts fragile global trade recovery at risk,Press release,https://www.wto.org/english/news_e/pres22_e/pr902_e.htm
Global trade rebound beats expectations but marked by regional divergences,Press release,https://www.wto.org/english/news_e/pres21_e/pr889_e.htm
World trade primed for strong but uneven recovery after COVID-19 pandemic shock,Press release,https://www.wto.org/english/news_e/pres21_e/pr876_e.htm
"Trade shows signs of rebound from COVID-19, recovery still uncertain",Press release,https://www.wto.org/english/news_e/pres20_e/pr862_e.htm
Trade falls steeply in first half of 2020,Press release,https://www.wto.org/english/news_e/pres20_e/pr858_e.htm
Trade set to plunge as COVID-19 pandemic upends global economy,Press release,https://www.wto.org/english/news_e/pres20_e/pr855_e.htm
WTO lowers trade forecast as tensions unsettle global economy,Press release,https://www.wto.org/english/news_e/pres19_e/pr840_e.htm
Global trade growth loses momentum as trade tensions persist,Press release,https://www.wto.org/english/news_e/pres19_e/pr837_e.htm
WTO downgrades outlook for global trade as risks accumulate,Press release,https://www.wto.org/english/news_e/pres18_e/pr822_e.htm
Strong trade growth in 2018 rests on policy choices,Press release,https://www.wto.org/english/news_e/pres18_e/pr820_e.htm
WTO upgrades forecast for 2017 as trade rebounds strongly,Press release,https://www.wto.org/english/news_e/pres17_e/pr800_e.htm
"Trade recovery expected in 2017 and 2018, amid policy uncertainty",Press release,https://www.wto.org/english/news_e/pres17_e/pr791_e.htm
Trade in 2016 to grow at slowest pace since the financial crisis,Press release,https://www.wto.org/english/news_e/pres16_e/pr779_e.htm
Trade growth to remain subdued in 2016 as uncertainties weigh on global demand,Press release,https://www.wto.org/english/news_e/pres16_e/pr768_e.htm
"Falling import demand, lower commodity prices push down trade growth prospects",Press release,https://www.wto.org/english/news_e/pres15_e/pr752_e.htm
Modest trade recovery to continue in 2015 and 2016 following three years of weak expansion,Press release,https://www.wto.org/english/news_e/pres15_e/pr739_e.htm
Modest trade recovery to continue in 2015 and 2016 following three years of weak expansion,Press conference,https://www.wto.org/audio/2015_04_14_pressconf.mp3
WTO lowers forecast after sub-par trade growth in first half of 2014,Press release,https://www.wto.org/english/news_e/pres14_e/pr722_e.htm
Modest trade growth anticipated for 2014 and 2015 following two year slump,Press release,https://www.wto.org/english/news_e/pres14_e/pr721_e.htm
Modest trade growth anticipated for 2014 and 2015 following two year slump,Press conference,https://www.wto.org/audio/2014_04_14_pc_dg.mp3
WTO sees gradual recovery in coming months despite cut in trade forecasts,Press release,https://www.wto.org/english/news_e/pres13_e/pr694_e.htm
Trade to remain subdued in 2013 after sluggish growth in 2012 as European economies continue to struggle,Press release,https://www.wto.org/english/news_e/pres13_e/pr688_e.htm
Trade to remain subdued in 2013 after sluggish growth in 2012 as European economies continue to struggle,Press Conference,https://www.wto.org/audio/2013_04_10_press688.mp3
"Slow global growth to hit trade in 2012 and 2013, WTO says",Press release,https://www.wto.org/english/news_e/pres12_e/pr676_e.htm
Trade growth to slow in 2012 after strong deceleration in 2011,Press release,https://www.wto.org/english/news_e/pres12_e/pr658_e.htm
WTO scales back its trade forecast to 5.8% as downside risks build,Press release,https://www.wto.org/english/news_e/pres11_e/pr641_e.htm
"Trade growth to ease in 2011 but despite 2010 record surge, crisis hangover persists",Press release,https://www.wto.org/english/news_e/pres11_e/pr628_e.htm
"Trade likely to grow by 13.5% in 2010, WTO says",Press release,https://www.wto.org/english/news_e/pres10_e/pr616_e.htm
"Trade to expand by 9.5% in 2010 after a dismal 2009, WTO reports",Press release,https://www.wto.org/english/news_e/pres10_e/pr598_e.htm
"Trade to expand by 9.5% in 2010 after a dismal 2009, WTO reports",Interview with WTO Chief Economist Patrick Low,http://wto.streamlogics.com/2010_03_26_stats_low.wmv
"Trade to expand by 9.5% in 2010 after a dismal 2009, WTO reports","Press Conference: Patrick Low WTO Chief Economist, about the trade figures",https://www.wto.org/audio/2010_03_26_stats_low_pc.mp3
WTO sees 9% global trade decline in 2009 as recession strikes,Press release,https://www.wto.org/english/news_e/pres09_e/pr554_e.htm
WTO sees 9% global trade decline in 2009 as recession strikes,"Video: Keith Rockwell, WTO Spokesman, interviews Patrick Low, WTO Chief Economist, about the trade figures",http://wto.streamlogics.com/2009_03_20_stats_low.wmv
"WTO: developing, transition economies cushion trade slowdown",Press release,https://www.wto.org/english/news_e/pres08_e/pr520_e.htm
"WTO: developing, transition economies cushion trade slowdown",Audio: Press conference in full,https://www.wto.org/audio/2008_04_17_pc.mp3
"WTO: developing, transition economies cushion trade slowdown",Video: Highlights from the press conference,http://wto.streamlogics.com/2008_wto_stats_pc.wmv
