title,type,url
Regional trade policy course concludes for English-speaking African government officials,News item,https://www.wto.org/english/news_e/news23_e/tech_10nov23_e.htm
WTO launches new online course on trade and sustainable waste management,News item,https://www.wto.org/english/news_e/news23_e/tech_07nov23_e.htm
WTO training course on trade and gender for Geneva-based delegates concludes,News item,https://www.wto.org/english/news_e/news23_e/women_06nov23_e.htm
Seminar for journalists from Latin America concludes in Bogotá,News item,https://www.wto.org/english/news_e/news23_e/tra_01nov23_e.htm
WTO Regional Trade Policy Course begins in Lomé,News item,https://www.wto.org/english/news_e/news23_e/tra_30oct23_e.htm
Participants in Netherlands Trainee Programme at WTO take part in trade policy study visit,News item,https://www.wto.org/english/news_e/news23_e/tra_27oct23_e.htm
WTO Advanced Trade Policy Course in English underway in Geneva,News item,https://www.wto.org/english/news_e/news23_e/tra_16oct23_e.htm
In-person WTO workshop on import licensing and notifications concludes in Geneva,News item,https://www.wto.org/english/news_e/news23_e/impl_27sep23_e.htm
WTO Introductory Trade Policy Course for LDCs begins in Geneva,News item,https://www.wto.org/english/news_e/news23_e/tra_25sep23_e.htm
WTO Introductory Trade Policy Course for LDCs begins in Geneva,More on WTO training courses,https://www.wto.org/english/tratop_e/devel_e/train_e/course_details_e.htm
WTO Introductory Trade Policy Course for LDCs begins in Geneva,More on trade and development,https://www.wto.org/english/tratop_e/devel_e/devel_e.htm
WTO Introductory Trade Policy Course for LDCs begins in Geneva,More on Least-developed countries (LDCs),https://www.wto.org/english/tratop_e/devel_e/dev_sub_committee_ldc_e.htm
Advanced Course on Trade in Services for government officials concludes at WTO,News item,https://www.wto.org/english/news_e/news23_e/tra_22sep23_e.htm
WTO regional trade policy course underway in Mauritius,News item,https://www.wto.org/english/news_e/news23_e/tra_18sep23_e.htm
DG Okonjo-Iweala congratulates participants in Caribbean regional trade policy course,News item,https://www.wto.org/english/news_e/news23_e/tra_08sep23_e.htm
WTO Regional Trade Policy Course underway in Trinidad and Tobago,News item,https://www.wto.org/english/news_e/news23_e/tra_01aug23_e.htm
French-speaking officials complete 30th WTO Advanced Trade Policy Course,News item,https://www.wto.org/english/news_e/news23_e/tra_28jul23_e.htm
Government officials complete training course on promoting gender equality in trade,News item,https://www.wto.org/english/news_e/news23_e/tra_20jul23_e.htm
First SPS Transparency Champions Course concludes in Geneva,News item,https://www.wto.org/english/news_e/news23_e/sps_15jun23_e.htm
Applications invited for WTO Training Course on Trade and Gender,News item,https://www.wto.org/english/news_e/news23_e/tra_30may23_e.htm
Advanced online workshop on Government Procurement Agreement concludes,News item,https://www.wto.org/english/news_e/news23_e/gpro_12may23_e.htm
WIPO-WTO advanced course on intellectual property policy issues concludes in Geneva,News item,https://www.wto.org/english/news_e/news23_e/trip_31mar23_e.htm
Advanced Trade Policy Course for government officials concludes in Geneva,News item,https://www.wto.org/english/news_e/news23_e/tech_24mar23_e.htm
Applications now open for WTO Training Course on Trade and Gender,News item,https://www.wto.org/english/news_e/news23_e/women_28feb23_e.htm
First Interdisciplinary Master’s Course on Trade for Peace successfully concludes,News item,https://www.wto.org/english/news_e/news22_e/tfp_14dec22_e.htm
WTO concludes second phase of advanced workshop on agriculture notifications,News item,https://www.wto.org/english/news_e/news22_e/tech_16sep22_e.htm
WTO concludes first online Regional Trade Policy Course for Asia-Pacific,News item,https://www.wto.org/english/news_e/news22_e/tra_25aug22_e.htm
WTO Advanced Trade Policy Course (ATPC) concludes in Geneva,News item,https://www.wto.org/english/news_e/news22_e/tra_29jul22a_e.htm
WTO advanced course on economic analysis of trade policy concludes in Geneva,News item,https://www.wto.org/english/news_e/news22_e/tra_29jul22_e.htm
WTO resumes in-person training courses in Geneva,News item,https://www.wto.org/english/news_e/news22_e/tech_08jun22_e.htm
2022 WIPO-WTO Advanced Course addresses topical intellectual property policy issues,News item,https://www.wto.org/english/news_e/news22_e/trip_08apr22_e.htm
WTO launches first online regional trade policy course for Latin American countries,News item,https://www.wto.org/english/news_e/news21_e/tech_12aug21_e.htm
Training course on trade in services for acceding governments concludes,News item,https://www.wto.org/english/news_e/news21_e/tra_26mar21_e.htm
Three internship programmes for developing countries and LDCs conclude in Geneva,News item,https://www.wto.org/english/news_e/news20_e/tra_15dec20_e.htm
WTO concludes first online regional trade policy course for Caribbean states,News item,https://www.wto.org/english/news_e/news20_e/XX_17nov20_e.htm
Advanced Trade Policy Course concludes at the WTO,News item,https://www.wto.org/english/news_e/news20_e/tra_13mar20_e.htm
WTO organizes regional trade policy course for French-speaking participants in Côte d’Ivoire,News item,https://www.wto.org/english/news_e/news20_e/tra_12feb20_e.htm
DG Azevêdo: ACP’s support is key to strengthen the trading system,News item,https://www.wto.org/english/news_e/news20_e/dgra_31jan20_e.htm
Advanced Trade Policy Course begins in Geneva,News item,https://www.wto.org/english/news_e/news20_e/tra_31jan20_e.htm
Advanced Trade Policy Course concludes at the WTO,News item,https://www.wto.org/english/news_e/news19_e/tra_04dec19_e.htm
DDG Yi opens training course on goods schedules for WTO accession,News item,https://www.wto.org/english/news_e/news19_e/acc_18nov19_e.htm
15th edition of Advanced Course on Sanitary and Phytosanitary Measures concludes in Geneva,News item,https://www.wto.org/english/news_e/news19_e/tra_18nov19_e.htm
Advanced Course on Technical Barriers to Trade Agreement concludes in Geneva,News item,https://www.wto.org/english/news_e/news19_e/tra_15nov19_e.htm
Second workshop on trade and environment held in Geneva for least developed countries,News item,https://www.wto.org/english/news_e/news19_e/tra_11nov19_e.htm
Course on trade in value-added statistics and global value chains concludes at WTO,News item,https://www.wto.org/english/news_e/news19_e/tra_30sep19_e.htm
Course for least-developed countries gets under way at the WTO’s headquarters,News item,https://www.wto.org/english/news_e/news19_e/tra_23sep19_e.htm
Advanced Trade Policy Course concludes in Geneva,News item,https://www.wto.org/english/news_e/news19_e/tra_26jul19_e.htm
Workshop on trade and environment held in Geneva for least developed countries,News item,https://www.wto.org/english/news_e/news19_e/tra_30jul19_e.htm
WTO advanced course on economic analysis of trade policy concludes in Geneva,News item,https://www.wto.org/english/news_e/news19_e/tra_05jul19_e.htm
"Workshop on public health, intellectual property and government procurement for WAEMU Members held in Dakar",News item,https://www.wto.org/english/news_e/news19_e/tra_04jul19_e.htm
"Workshop on public health, intellectual property and government procurement for WAEMU Members held in Dakar",Activity sheet for the course,https://www.wto.org/french/news_f/news19_f/tra_04jul19_f.pdf
WTO seminar for Latin American journalists concludes in Geneva,News item,https://www.wto.org/english/news_e/news19_e/tra_27jun19_e.htm
Regional Trade Policy Course under way in Trinidad and Tobago,News item,https://www.wto.org/english/news_e/news19_e/tra_20jun19_e.htm
Advanced Trade Policy Course gets under way in Geneva,News item,https://www.wto.org/english/news_e/news19_e/tra_13jun19_e.htm
Advanced Trade Policy Course gets under way in Geneva,Activity sheet for the course,https://www.wto.org/french/news_f/news19_f/programme_tra_13jun19_f.pdf
WTO-FES seminar for English-speaking journalists from Africa and Asia concludes in Geneva,News item,https://www.wto.org/english/news_e/news19_e/tra_18may19_e.htm
Introductory Trade Policy Course for Least Developed Countries concludes in Geneva,News item,https://www.wto.org/english/news_e/news19_e/tra_17may19_e.htm
Advanced Trade Policy Course concludes at the WTO,News item,https://www.wto.org/english/news_e/news19_e/tra_27mar19_e.htm
Advanced Trade Policy Course concludes at the WTO,Activity sheet for the course,https://www.wto.org/english/news_e/news19_e/tra_27mar19_e.pdf
Côte d’Ivoire hosts its third Regional Trade Policy Course,News item,https://www.wto.org/english/news_e/news19_e/tra_19feb19_e.htm
Advanced Trade Policy Course begins in Geneva,News item,https://www.wto.org/english/news_e/news19_e/tra_01feb19_e.htm
Advanced Trade Policy Course begins in Geneva,Activity sheet for the course,https://www.wto.org/english/news_e/news19_e/progtra_01feb19_e.pdf
Advanced Trade Policy Course concludes at the WTO,News item,https://www.wto.org/english/news_e/news18_e/tra_30nov18_e.htm
Advanced Course on Sanitary and Phytosanitary Measures starts in Geneva,News item,https://www.wto.org/english/news_e/news18_e/tra_22oct18_e.htm
Advanced Trade Policy Course gets under way in Geneva,News item,https://www.wto.org/english/news_e/news18_e/tra_19oct18_e.htm
"Workshop promotes comprehensive approach to trade, IP and health disciplines",News item,https://www.wto.org/english/news_e/news18_e/tra_15oct18_e.htm
"Workshop promotes comprehensive approach to trade, IP and health disciplines",Programme,https://www.wto.org/english/news_e/news18_e/tra_15oct18_e.pdf
Samoa hosts Short Trade Policy Course for Pacific Island countries,News item,https://www.wto.org/english/news_e/news18_e/tra_10sep18_e.htm
"Regional Trade Policy Course concludes in Almaty, Kazakhstan",News item,https://www.wto.org/english/news_e/news18_e/tra_22jun18_e.htm
Advanced Trade Policy Course for officials from Latin America and the Caribbean,News item,https://www.wto.org/english/news_e/news18_e/tra_15jun18_e.htm
WTO hosts course on priority issues for least-developed countries,News item,https://www.wto.org/english/news_e/news18_e/tra_13jun18_e.htm
Regional Trade Policy Course gets under way in Kazakhstan,News item,https://www.wto.org/english/news_e/news18_e/tra_30apr18_e.htm
Introductory Trade Policy Course for least-developed countries concludes at the WTO,News item,https://www.wto.org/english/news_e/news18_e/tra_27apr18_e.htm
Advanced Trade Policy Course concludes at the WTO,News item,https://www.wto.org/english/news_e/news18_e/tra_06apr18_e.htm
10th WTO-WIPO advanced course on intellectual property for policymakers opens in Geneva,News item,https://www.wto.org/english/news_e/news18_e/igo_12mar18_e.htm
WTO hosts Advanced Trade Policy Course,News item,https://www.wto.org/english/news_e/news18_e/tra_05mar18_e.htm
Regional Trade Policy Course for Asia-Pacific members and observers concludes in Thailand,News item,https://www.wto.org/english/news_e/news17_e/tra_04dec17_e.htm
"Advanced course on food safety, animal and plant health concludes in Geneva",News item,https://www.wto.org/english/news_e/news17_e/sps_09nov17_e.htm
"WTO hosts Thematic Course on Trade in Services Statistics, with focus on Africa",News item,https://www.wto.org/english/news_e/news17_e/tra_06nov17_e.htm
"WTO hosts Thematic Course on Trade in Services Statistics, with focus on Africa",Activity sheet for the course,https://www.wto.org/english/news_e/news17_e/tra_06nov17_e.pdf
"Regional Trade Policy Course gets under way in Quito, Ecuador",News item,https://www.wto.org/english/news_e/news17_e/tra_01aug17_e.htm
Advanced Trade Policy Course comes to a close in Geneva,News item,https://www.wto.org/english/news_e/news17_e/tra_02aug17_e.htm
Advanced Trade Policy Course comes to a close in Geneva,Activity sheet for the course,https://www.wto.org/french/news_f/news17_f/tra_02aug17_programme_f.pdf
Course on priority issues for least-developed countries under way at WTO,News item,https://www.wto.org/english/news_e/news17_e/tra_20jun17_e.htm
Advanced Trade Policy Course under way in Geneva,News item,https://www.wto.org/english/news_e/news17_e/tra_15jun17_e.htm
