title,type,url
Youth Trade Summit emphasizes contribution of youth to the trade and gender debate,News item,https://www.wto.org/english/news_e/news23_e/women_14nov23_e.htm
WTO training course on trade and gender for Geneva-based delegates concludes,News item,https://www.wto.org/english/news_e/news23_e/women_06nov23_e.htm
Registration opens for the Youth Trade Summit on Gender,News item,https://www.wto.org/english/news_e/news23_e/women_17oct23_e.htm
"DG Okonjo-Iweala: Trade is important for innovation, women’s economic empowerment, climate",News item,https://www.wto.org/english/news_e/news23_e/msmes_28sep23_e.htm
Trade and Gender co-chairs outline joint work with MSMEs Group for women entrepreneurs,News item,https://www.wto.org/english/news_e/news23_e/women_22sep23_e.htm
New WTO publication underlines need to boost women’s participation in trade,News item,https://www.wto.org/english/news_e/news23_e/women_14sep23_e.htm
Government officials complete training course on promoting gender equality in trade,News item,https://www.wto.org/english/news_e/news23_e/tra_20jul23_e.htm
Nomination deadline for Youth Trade Summit on Gender extended to 12 September,News item,https://www.wto.org/english/news_e/news23_e/women_10jul23_e.htm
Trade and Gender Informal Working Group co-chairs launch work plan for 2023-24,News item,https://www.wto.org/english/news_e/news23_e/iwgtg_20jun23_e.htm
Youth Trade Summit on Gender to foster next generation of trade and gender experts,News item,https://www.wto.org/english/news_e/news23_e/women_12jun23_e.htm
Applications invited for WTO Training Course on Trade and Gender,News item,https://www.wto.org/english/news_e/news23_e/tra_30may23_e.htm
Gender-responsive trade policymaking skills enhanced for 23 government officials,News item,https://www.wto.org/english/news_e/news23_e/women_05may23_e.htm
"WTO, FIFA event highlights role of football as a tool for trade and women’s empowerment",News item,https://www.wto.org/english/news_e/news23_e/women_01may23_e.htm
El Salvador minister calls on WTO members to take action on promoting gender equality,News item,https://www.wto.org/english/news_e/news23_e/iwgtg_24apr23_e.htm
DDG Zhang: Women’s perspectives are crucial to achieve sustainable peace through trade,News item,https://www.wto.org/english/news_e/news23_e/ddgxz_31mar23_e.htm
Deadline for applying to the WTO Training on Trade and Gender extended to 20 March,News item,https://www.wto.org/english/news_e/news23_e/women_13mar23_e.htm
"Members share experiences on environmental regulations, standards for climate and plastics",News item,https://www.wto.org/english/news_e/news23_e/tbt_10mar23_e.htm
"Combat inequality amid global upheavals, Okonjo-Iweala and Lagarde urge on Women’s Day",News item,https://www.wto.org/english/news_e/news23_e/women_08mar23_e.htm
WTO Gender Research Hub launches work programme to deepen expertise on women in trade,News item,https://www.wto.org/english/news_e/news23_e/women_09mar23_e.htm
DDG Ellard: We need to make trade work for women,News item,https://www.wto.org/english/news_e/news23_e/ddgae_07mar23_e.htm
Applications now open for WTO Training Course on Trade and Gender,News item,https://www.wto.org/english/news_e/news23_e/women_28feb23_e.htm
DG Okonjo-Iweala and Christine Lagarde to exchange views at International Women’s Day event,News item,https://www.wto.org/english/news_e/news23_e/women_20feb23_e.htm
Trade and Gender Informal Working Group co-chairs present draft work plan for 2023,News item,https://www.wto.org/english/news_e/news23_e/women_15feb23_e.htm
"Members highlight progress on trade and gender, aim for long-term work programme in 2023",News item,https://www.wto.org/english/news_e/news22_e/women_12dec22_e.htm
World Trade Congress on Gender,News item,https://www.wto.org/english/news_e/news22_e/women_07dec22_e.htm
World Trade Congress on Gender,News item,https://www.wto.org/english/news_e/news22_e/ddgae_07dec22_e.htm
World Trade Congress on Gender closes with call for further action on women’s empowerment,News item,https://www.wto.org/english/news_e/news22_e/women_08dec22_e.htm
"Trade and gender congress opens with call for inclusive, research-backed path to recovery",News item,https://www.wto.org/english/news_e/news22_e/women_05dec22_e.htm
World Trade Congress on Gender programme is now available,News item,https://www.wto.org/english/news_e/news22_e/women_22nov22_e.htm
