title,type,url
Facilitator of e-commerce work programme seeks members’ views on way forward,News item,https://www.wto.org/english/news_e/news23_e/ecwp_19oct23_e.htm
WTO members address electronic commerce and technology transfer in final thematic session,News item,https://www.wto.org/english/news_e/news23_e/ecom_21sep23_e.htm
WTO members intensify discussion on e-commerce moratorium,News item,https://www.wto.org/english/news_e/news23_e/ecom_18jul23_e.htm
WTO members highlight importance of “digital industrialisation” to economic growth,News item,https://www.wto.org/english/news_e/news23_e/ecwp_23jun23_e.htm
"DG Okonjo-Iweala: E-commerce has emerged as major force in global economic output, trade",News item,https://www.wto.org/english/news_e/news23_e/ecom_02jun23_e.htm
WTO members review ways to facilitate digital trade and electronic transactions,News item,https://www.wto.org/english/news_e/news23_e/ecom_16may23_e.htm
WTO members deepen discussion on e-commerce moratorium,News item,https://www.wto.org/english/news_e/news23_e/ecom_21apr23_e.htm
"DDG Ellard: The future of globalization is services, digital technology",News item,https://www.wto.org/english/news_e/news23_e/ddgae_29mar23_e.htm
Members exchange information on regulatory and legal frameworks on e-commerce,News item,https://www.wto.org/english/news_e/news23_e/ecom_22mar23_e.htm
Members’ discussion on e-commerce work programme highlights need to bridge digital divide,News item,https://www.wto.org/english/news_e/news23_e/ecom_21feb23_e.htm
Members’ discussion on e-commerce work programme highlights importance of consumer protection,News item,https://www.wto.org/english/news_e/news23_e/ecom_26jan23_e.htm
WTO members advance discussions on Services Council’s role in implementing MC12 outcomes,News item,https://www.wto.org/english/news_e/news22_e/serv_08dec22_e.htm
WTO members resume discussions on e-commerce following MC12 outcome,News item,https://www.wto.org/english/news_e/news22_e/jsec_18nov22_e.htm
Development Committee welcomes MC12 decision on e-commerce work programme,News item,https://www.wto.org/english/news_e/news22_e/devel_20jun22_e.htm
WTO members secure unprecedented package of trade outcomes at MC12,News item,https://www.wto.org/english/news_e/news22_e/mc12_17jun22_e.htm
"WTO members continue review of LDC services waiver, e-commerce work programme",News item,https://www.wto.org/english/news_e/news21_e/serv_01jul21_e.htm
"WTO members agree to extend e-commerce, non-violation moratoriums",News item,https://www.wto.org/english/news_e/news19_e/gc_10dec19_e.htm
"Ministerial ends with decisions on fish subsidies, e-commerce duties; ongoing work continues",News item,https://www.wto.org/english/news_e/news17_e/mc11_13dec17_e.htm
Goods Council discusses US proposal to enhance transparency,News item,https://www.wto.org/english/news_e/news17_e/good_16nov17_e.htm
WTO members discuss the role of e-commerce in fostering development,News item,https://www.wto.org/english/news_e/news17_e/devel_14mar17_e.htm
Support expressed for advancing WTO work on electronic commerce,News item,https://www.wto.org/english/news_e/news16_e/good_14jul16_e.htm
WTO members secure “historic” Nairobi Package for Africa and the world,News item,https://www.wto.org/english/news_e/news15_e/mc10_19dec15_e.htm
Draft decision agreed on electronic commerce,News item,https://www.wto.org/english/news_e/news15_e/gc_30nov15_e.htm
"Days 3, 4 and 5: Round-the-clock consultations produce ‘Bali Package’",News item,https://www.wto.org/english/news_e/news13_e/mc9sum_07dec13_e.htm
