title,type,url
WTO launches call for candidates for the 2024 Young Professionals Programme,News item,https://www.wto.org/english/news_e/news23_e/ypp_20mar23_e.htm
DG Okonjo-Iweala welcomes the 2023 cohort of WTO Young Professionals,News item,https://www.wto.org/english/news_e/news23_e/ypp_31jan23_e.htm
DG Okonjo-Iweala bids farewell to 2022 trainees and young professionals,News item,https://www.wto.org/english/news_e/news22_e/ypp_06dec22_e.htm
DG Okonjo-Iweala welcomes new cohort of WTO young professionals,News item,https://www.wto.org/english/news_e/news22_e/ypp_02feb22_e.htm
"DG Okonjo-Iweala bids farewell to internship, young professionals participants",News item,https://www.wto.org/english/news_e/news21_e/ypp_07dec21_e.htm
WTO members approve 2022-23 technical assistance priorities for developing countries,News item,https://www.wto.org/english/news_e/news21_e/tech_10nov21_e.htm
Calling young professionals: the WTO wants you!,News item,https://www.wto.org/english/news_e/news21_e/ypp_09apr21_e.htm
DDG Agah welcomes fifth cohort of WTO young professionals,News item,https://www.wto.org/english/news_e/news21_e/ypp_03feb21_e.htm
WTO thanks 2020 Young Professionals for their work during difficult year,News item,https://www.wto.org/english/news_e/news20_e/ypp_04dec20_e.htm
WTO launches call for candidates for 2021 Young Professionals Programme,News item,https://www.wto.org/english/news_e/news20_e/ypp_20apr20_e.htm
New cohort of WTO young professionals welcomed by DG Azevêdo,News item,https://www.wto.org/english/news_e/news20_e/ypp_28jan20_e.htm
DG Azevêdo thanks 2019 WTO Young Professionals for their work and contributions,News item,https://www.wto.org/english/news_e/news19_e/ypp_25nov19_e.htm
DG Azevêdo welcomes the 2019 cohort of WTO young professionals,News item,https://www.wto.org/english/news_e/news19_e/ypp_07feb19_e.htm
DG Azevêdo commends 2018 cohort of WTO young professionals for their excellent work,News item,https://www.wto.org/english/news_e/news18_e/ypp_22nov18_e.htm
Director-General welcomes new cohort of WTO young professionals,News item,https://www.wto.org/english/news_e/news18_e/ypp_08feb18_e.htm
DG Azevêdo thanks first participants in WTO’s Young Professionals Programme,News item,https://www.wto.org/english/news_e/news17_e/stud_27nov17_e.htm
DG Azevêdo inaugurates WTO’s first Young Professionals Programme,News item,https://www.wto.org/english/news_e/news17_e/stud_06mar17_e.htm
